InvoiceID,InvoiceNo,DueDate,InvoiceDate,Paid,Total,InvoiceType,Status,Title,PaymentDate
45972,28268,2026-05-17,2026-04-17,0.0000,0.0000,Weekly,Paid,Weekly Invoice,
45907,28203,2026-05-11,2026-04-11,0.0000,563.6400,One-Time,Pending Payment,One-Time Invoice For Phase 3,
45906,28202,2026-05-11,2026-04-11,0.0000,691.2400,One-Time,Pending Payment,One-Time Invoice For Phase 2,
45937,28232,2026-05-10,2026-04-10,0.0000,0.0000,Weekly,Paid,Weekly Invoice,
45898,28192,2026-05-03,2026-04-03,0.0000,0.0000,Weekly,Paid,Weekly Invoice,
45788,28149,2026-05-01,2026-04-01,3244.5000,3244.5000,Monthly,Paid,AFFG : Monthly Invoice for 2026 - Monthly Support / Compliance,
45749,28026,2026-04-30,2026-03-31,0.0000,1770.0000,One-Time,Pending Payment,Proposal 2,
45785,28094,2026-04-26,2026-03-27,0.0000,0.0000,Weekly,Paid,Weekly Invoice,
45747,28025,2026-04-24,2026-03-25,1770.0000,1770.0000,One-Time,Paid,proposal,2026-03-31
45739,28060,2026-04-19,2026-03-20,0.0000,0.0000,Weekly,Paid,Weekly Invoice,
45660,28167,2026-03-31,2026-03-01,0.0000,1081.6900,Monthly,Pending Payment,AFFG : Monthly Invoice for 2026 - Monthly Support / Compliance,
