id,hostname,platform,os,version,edr_version,last_callback_at,last_survey_at,defender_status,defender_policy_status,firewall_status,ipv4_address,external_ip,domain_name,serial_number,organization_id,account_id,arch,created_at,defender_substatus,mac_addresses,service_pack_major,service_pack_minor,os_build_version,os_major,os_minor,os_patch,tags,updated_at,version_number,win_build_number
13987616,ANI-HQ-VBR-02,windows,Windows Server 2022 Standard,0.14.162,0.7.54,2026-04-29T16:08:36Z,2026-04-29T12:20:35Z,Unhealthy,Compliant,Disabled,10.5.5.152,97.93.171.50,,VMware-56 4d f1 49 f2 00 d2 91-ac 31 77 1b cf 7c 5b 07,429248,31342,amd64,2025-10-04T04:12:43Z,Other AV,"[""00:0c:29:7c:5b:07"", ""00:0c:29:7c:5b:11""]",0,0,20348,10,0,0,[],2026-04-29T14:19:38Z,917666,
11655174,ANI-HQ-WINEDGE,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:11:23Z,2026-04-29T14:35:18Z,Unmanaged,Non Compliant,Disabled,10.5.5.128,97.93.171.50,,VMware-56 4d 17 1a 87 30 cd a1-ff b0 38 65 3c 94 4b ca,429248,31342,amd64,2025-03-07T19:57:28Z,Other AV,"[""00:0c:29:94:4b:ca""]",0,0,26200,10,0,0,[],2026-04-29T14:36:04Z,917666,
11632879,WS-AI-26,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:04:46Z,2026-04-29T15:45:32Z,Unmanaged,Non Compliant,Disabled,10.5.5.82,97.93.171.50,ANDERSEN,B181717,429248,31342,amd64,2025-03-05T22:55:53Z,Other AV,"[""40:74:e0:22:ab:0a"", ""40:74:e0:22:ab:0b"", ""42:74:e0:22:ab:0a"", ""70:85:c2:f7:82:92"", ""70:85:c2:f7:82:94""]",0,0,26200,10,0,0,[],2026-04-29T15:45:33Z,917666,
11632855,WS-AI-02,windows,Windows 7 Professional,0.14.162,,2026-04-29T16:00:59Z,2026-04-29T05:30:47Z,Incompatible,Non Compliant,Disabled,10.5.5.127,97.93.171.50,ANDERSEN,55YDWR1,429248,31342,amd64,2025-03-05T22:52:55Z,Incompatible + Other AV,"[""14:fe:b5:f0:ff:94""]",1,0,7601,6,1,0,[],2026-04-29T16:00:59Z,917666,
11632838,WINDCHILLVIZ,windows,Windows 7 Ultimate,0.14.162,,2026-04-29T16:01:12Z,2026-04-28T23:30:31Z,Incompatible,Non Compliant,Disabled,10.5.5.84,97.93.171.50,ANDERSEN,VMware-42 04 56 92 3e 25 aa 67-74 37 ab f8 5f 86 dc b3,429248,31342,amd64,2025-03-05T22:50:30Z,Incompatible + Other AV,"[""00:50:56:84:4a:3f""]",1,0,7601,6,1,0,[],2026-04-29T16:01:12Z,917666,
11632819,VMANI-SDDJ,windows,Windows 7 Professional,0.14.162,,2026-04-29T16:10:43Z,2026-04-29T03:18:17Z,Incompatible,Non Compliant,Disabled,10.5.5.204,97.93.171.50,,VMware-42 25 82 3e 2e 9d 49 6a-e7 2f fc 1f 23 bd e5 5f,429248,31342,amd64,2025-03-05T22:47:56Z,Incompatible + Other AV,"[""00:50:56:a5:3a:0a""]",1,0,7601,6,1,0,[],2026-04-29T16:10:43Z,917666,
11561373,Wayne-Laptop,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T05:11:41Z,2026-04-29T05:01:49Z,Unmanaged,Non Compliant,Enabled,192.168.5.125,47.150.205.141,,8Y8Y244,429248,31342,amd64,2025-02-27T04:02:26Z,Other AV,"[""a0:d3:65:d4:c1:1e"", ""a0:d3:65:d4:c1:1f"", ""a0:d3:65:d4:c1:22"", ""a2:d3:65:d4:c1:1e""]",0,0,26200,10,0,0,[],2026-04-29T05:01:50Z,917666,
11556984,ANDERSEN-AITS,windows,Windows 10 Pro,0.14.162,0.7.54,2026-04-29T16:11:34Z,2026-04-28T22:24:31Z,Unmanaged,Gpo Conflict,Enabled,10.5.5.201,97.93.171.50,ANDERSEN,VMware-56 4d 5c c4 a2 27 d7 80-43 0e 36 d0 a4 92 01 b6,429248,31342,amd64,2025-02-26T19:48:36Z,Other AV,"[""00:50:56:b5:90:28""]",0,0,18363,10,0,0,[],2026-04-29T14:57:27Z,917666,
11556981,WS-AI-34,windows,Windows 11 Pro for Workstations,0.14.162,0.7.54,2026-04-29T16:11:20Z,2026-04-29T15:08:27Z,Unhealthy,Gpo Conflict,Disabled,10.5.5.150,97.93.171.50,ANDERSEN,B203049,429248,31342,amd64,2025-02-26T19:48:29Z,Other AV,"[""60:dd:8e:22:6f:73"", ""60:dd:8e:22:6f:74"", ""60:dd:8e:22:6f:77"", ""62:dd:8e:22:6f:73"", ""9c:6b:00:58:97:84"", ""9c:6b:00:58:98:0a""]",0,0,26200,10,0,0,[],2026-04-29T15:08:29Z,917666,
11556971,VMANIOPT1,windows,Windows Server 2016 Standard,0.14.162,0.7.54,2026-04-29T16:08:05Z,2026-04-29T11:26:41Z,Unhealthy,Gpo Conflict,Disabled,10.5.5.231,97.93.171.50,ANDERSEN,VMware-42 2e ea a6 e5 53 6b 0b-fa 94 4b 6c 48 0e 17 bd,429248,31342,amd64,2025-02-26T19:47:40Z,Other AV,"[""00:50:56:ae:f9:14""]",0,0,14393,10,0,0,[],2026-04-29T15:44:24Z,917666,
