InvoiceID,InvoiceNo,DueDate,InvoiceDate,Paid,Total,InvoiceType,Status,PaymentDate,Title
42384,11810,2025-03-24,2025-02-22,375.0000,375.0000,WeeklyOut,Paid,2025-03-07,Out Of Contract
42344,12170,2025-03-16,2025-02-14,199.5000,199.5000,WeeklyOut,Paid,2025-03-20,Out Of Contract
42300,12130,2025-03-09,2025-02-07,112.5000,112.5000,WeeklyOut,Paid,2025-02-21,Out Of Contract
41916,11746,2025-01-25,2024-12-26,72.0000,72.0000,Invoice,Paid,2025-01-08,Laptop shipping Karl T
41912,11717,2025-01-19,2024-12-20,235.0000,235.0000,WeeklyOut,Paid,2025-01-08,Out Of Contract
41842,11652,2025-01-05,2024-12-06,248.5000,248.5000,WeeklyOut,Paid,2025-01-08,Out Of Contract
41665,11488,2024-12-15,2024-11-15,460.0000,460.0000,WeeklyOut,Paid,2024-11-29,Out Of Contract
41588,11453,2024-12-14,2024-11-14,109.4400,109.4400,Invoice,Paid,2024-11-29,Kevin's Iphone Shipping Charge
41582,11446,2024-12-08,2024-11-08,778.0000,778.0000,WeeklyOut,Paid,2024-11-22,Out Of Contract
41555,11420,2024-12-07,2024-11-07,824.0600,824.0600,Invoice,Paid,2024-11-22,iphone 14 pro
41411,11330,2024-11-28,2024-10-28,9124.4100,9124.4100,Invoice,Paid,2024-11-15,5 laptops
41452,11325,2024-11-25,2024-10-26,87.0000,87.0000,WeeklyOut,Paid,2024-11-08,Out Of Contract
41404,11279,2024-11-22,2024-10-22,1758.7400,1758.7400,Invoice,Paid,2024-11-08,Standard Monitor - 4 Monitors
41362,11264,2024-11-13,2024-10-13,473.2000,473.2000,Invoice,Paid,2024-11-01,Docking Station
41364,11265,2024-11-13,2024-10-13,1726.1100,1726.1100,Invoice,Paid,2024-11-01,Standard Monitor - 4 Monitors
41395,11268,2024-11-10,2024-10-11,643.0000,643.0000,WeeklyOut,Paid,2024-11-01,Out Of Contract
41252,11125,2024-10-27,2024-09-27,225.0000,225.0000,WeeklyOut,Paid,2024-10-11,Out Of Contract
41178,11049,2024-10-13,2024-09-13,1092.0000,1092.0000,WeeklyOut,Paid,2024-09-27,Out Of Contract
40994,10904,2024-09-29,2024-08-30,85.0000,85.0000,WeeklyOut,Paid,,Out Of Contract
40912,10860,2024-09-22,2024-08-22,6751.7900,6751.7900,Invoice,Paid,2024-09-06,Standard Laptop x 4
40829,10726,2024-09-05,2024-08-05,129.0000,129.0000,Invoice,Paid,2024-08-29,BRM Shipping IPads and Keyboard Cases
40820,10737,2024-09-01,2024-08-02,85.0000,85.0000,WeeklyOut,Paid,2024-09-20,Out Of Contract
40680,10625,2024-08-29,2024-07-29,1212.1600,1212.1600,Invoice,Paid,2024-08-16,Ipads
40675,10593,2024-08-25,2024-07-25,323.2200,323.2200,Invoice,Paid,2024-07-31,Logitech Slim Folio Keyboard
40576,10499,2024-08-04,2024-07-05,375.0000,375.0000,WeeklyOut,Paid,2024-07-18,Out Of Contract
40413,10443,2024-07-30,2024-06-30,792.1200,792.1200,Invoice,Paid,2024-07-11,Apple IPAD
40343,10266,2024-07-14,2024-06-14,235.0000,235.0000,WeeklyOut,Paid,,Out Of Contract
40294,10218,2024-07-07,2024-06-07,637.5000,637.5000,WeeklyOut,Paid,2024-07-05,Out Of Contract
40091,10025,2024-06-28,2024-05-28,7410.4300,7410.4300,Invoice,Paid,2024-06-14,4 laptops
40001,10001,2024-06-16,2024-05-17,747.0000,747.0000,WeeklyOut,Paid,2024-06-07,Out Of Contract
39876,9886,2024-06-02,2024-05-03,444.0000,444.0000,WeeklyOut,Paid,2024-05-17,Out Of Contract
39743,9751,2024-05-26,2024-04-26,1173.0000,1173.0000,WeeklyOut,Paid,2024-05-17,Out Of Contract
39663,9685,2024-05-19,2024-04-19,1218.0000,1218.0000,WeeklyOut,Paid,2024-05-09,Out Of Contract
39538,9511,2024-05-05,2024-04-05,83.5000,83.5000,WeeklyOut,Paid,,Out Of Contract
39402,9519,2024-05-02,2024-04-02,7293.2400,7293.2400,Invoice,Paid,,3 laptops
39339,9416,2024-04-28,2024-03-29,150.0000,150.0000,WeeklyOut,Paid,2024-05-31,Out Of Contract
39268,9314,2024-04-21,2024-03-22,1414.4400,1414.4400,WeeklyOut,Paid,2024-05-17,Out Of Contract
39135,9188,2024-04-07,2024-03-08,150.0000,150.0000,WeeklyOut,Paid,2024-03-29,Out Of Contract
38786,8849,2024-03-03,2024-02-02,0.0000,0.0000,Invoice,Void,,Bank Fees
38691,8748,2024-03-03,2024-02-02,300.0000,300.0000,Weekly,Paid,2024-02-16,Weekly Invoice
38439,8593,2024-02-15,2024-01-15,1377.5000,1377.5000,Invoice,Paid,2024-02-09,cisco swtich
38376,8484,2024-02-08,2024-01-08,0.0000,0.0000,Invoice,Void,,BANK FEES
38147,8261,2024-01-21,2023-12-22,154.5000,154.5000,Weekly,Paid,2024-01-17,Weekly Invoice
38046,5625,2024-01-07,2023-12-08,450.0000,450.0000,Weekly,Paid,2024-02-09,Weekly Invoice
37881,5910,2023-12-21,2023-11-21,3429.6800,3429.6800,Invoice,Paid,2023-12-22,Latitude 5540 laptops + peripherals
37581,5620,2023-11-23,2023-10-23,1198.8300,1198.8300,Invoice,Paid,2023-11-29,MS Headsets
37546,5552,2023-11-12,2023-10-13,712.5000,712.5000,Weekly,Paid,2023-11-29,Weekly Invoice
37384,5394,2023-10-28,2023-09-28,10025.9100,10025.9100,Invoice,Paid,,Dell 3581 Precision
37207,5244,2023-10-01,2023-09-01,75.0000,75.0000,Weekly,Paid,,Weekly Invoice
37049,5088,2023-09-17,2023-08-18,262.5000,262.5000,Weekly,Paid,2024-02-09,Weekly Invoice
36962,5003,2023-09-03,2023-08-04,100.5000,100.5000,Weekly,Paid,,Weekly Invoice
36830,4879,2023-08-26,2023-07-26,3943.9700,3943.9700,Invoice,Paid,2024-02-09,Latitude 5540 + perpherals
36566,4627,2023-07-23,2023-06-23,300.0000,300.0000,Weekly,Paid,2023-07-14,Weekly Invoice
36520,4579,2023-07-16,2023-06-16,375.0000,375.0000,Weekly,Paid,2023-06-28,Weekly Invoice
36249,4322,2023-06-18,2023-05-19,37.5000,37.5000,Weekly,Paid,2023-06-28,Weekly Invoice
36211,4279,2023-06-11,2023-05-12,37.5000,37.5000,Weekly,Paid,2023-06-28,Weekly Invoice
36011,4103,2023-05-21,2023-04-21,250.5000,250.5000,Weekly,Paid,2023-05-11,Weekly Invoice
35811,3898,2023-04-23,2023-03-24,300.0000,300.0000,Weekly,Paid,,Weekly Invoice
35772,3860,2023-04-16,2023-03-17,562.5000,562.5000,Weekly,Paid,,Weekly Invoice
35733,3819,2023-04-09,2023-03-10,150.0000,150.0000,Weekly,Paid,2023-03-29,Weekly Invoice
34024,1969,2022-09-04,2022-08-05,300.0000,300.0000,Weekly,Paid,2022-09-12,Weekly Invoice
33903,1842,2022-08-28,2022-07-28,115.0900,115.0900,Invoice,Paid,2022-08-15,UPS Shipping
33900,1841,2022-08-28,2022-07-28,15862.9300,15862.9300,Invoice,Paid,2022-08-15,5 User Setups
33842,1811,2022-08-19,2022-07-19,723.5300,723.5300,Invoice,Paid,2022-09-12,headphones and dockstation
33675,1732,2022-08-11,2022-07-11,411.1300,411.1300,Invoice,Paid,2022-07-29,WD19TBS
33666,1566,2022-07-17,2022-06-17,450.0000,450.0000,Weekly,Paid,,Weekly Invoice
