Project,India_hrs,USA_hrs,Total_hrs,Proposal_cost_at_150,India_proposal_cost,USA_proposal_cost
NewStar ERP upgrade / updates / support,125.21,63.05,188.26,28239.0,18781.5,9457.5
RMM / tooling install on new machines,103.37,0.0,103.37,15505.5,15505.5,0.0
Server / VM / ESXi / VMware upgrade or rebuild,79.16,8.39,87.55,13132.5,11874.0,1258.5
Windows 11 / PC refresh / laptop deploy,13.77,52.18,65.95,9892.5,2065.5,7827.0
OneDrive / SharePoint data migration,60.49,5.0,65.49,9823.5,9073.5,750.0
Backup / Veeam / Replication setup or rebuild,31.39,2.0,33.39,5008.5,4708.5,300.0
Firewall / VPN / Network buildout,2.0,16.83,18.83,2824.5,300.0,2524.5
File server / data migration,8.5,5.0,13.5,2025.0,1275.0,750.0
Security / EDR / CrowdStrike / Umbrella / SSL / MFA rollout,11.5,0.5,12.0,1800.0,1725.0,75.0
TOTAL,435.39,152.95,588.34,88251.0,65308.5,22942.5
