Month,Uncategorized,Routine: Patch management / Windows Update / missing patches,Routine: CrowdStrike / EDR agent version updates,Routine: MyRMM / ManageEngine / N-able / RMM agent version updates,Project: NewStar ERP upgrade / updates / support,Routine: Weekly Maintenance Window,Routine: Antivirus / Malware scan,Routine: ScreenConnect / MyRemote agent updates,Project: RMM / tooling install on new machines,Routine: Individual user / PC / laptop issue (named),Routine: Network / Internet / ISP / Wi-Fi issue,Project: Server / VM / ESXi / VMware upgrade or rebuild,Routine: Generic help / troubleshoot / support,Routine: Server/DC issue (generic),Routine: Monitoring alert — CPU / memory / disk utilization,Routine: Email / Outlook / spam / phishing,Project: Windows 11 / PC refresh / laptop deploy,Project: OneDrive / SharePoint data migration,Routine: Backup job / Veeam alert / failure,Routine: Monitoring alert — device down / not responding / agent offline,Routine: File access / Shared drive / OneDrive sync / Permissions,Routine: Printer / Scanner / Peripheral,"Routine: Hardware troubleshoot (slow, freeze, bsod, boot)",Project: Backup / Veeam / Replication setup or rebuild,Routine: Onboarding / Offboarding user,Routine: Monitoring alert — generic critical / MonitorField,Routine: Admin / Approvals / Signatures / Meetings,Project: Firewall / VPN / Network buildout,Routine: VPN troubleshoot,Routine: User login / password / account lockout,Project: File server / data migration,Project: Security / EDR / CrowdStrike / Umbrella / SSL / MFA rollout,Routine: Web / app 404 / site down,Routine: Phone / Voice / Teams / Conferencing,Routine: Weekly firewall / config backup,TOTAL
2023-05,1.17,0.0,0.0,0.0,0.33,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.93,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,28.51
2023-06,27.26,2.88,0.0,0.0,12.84,3.03,0.0,0.42,0.0,0.0,2.0,0.0,6.75,1.0,0.0,1.25,4.25,0.0,2.91,0.0,3.16,1.5,0.0,3.0,1.25,0.0,0.43,0.0,4.75,0.25,0.0,0.0,1.71,0.0,0.0,80.64
2023-07,32.47,0.0,0.0,0.0,0.52,4.63,0.0,0.5,0.75,0.0,0.0,8.39,2.33,0.5,0.0,1.49,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.57,0.0,0.0,0.0,0.0,1.0,0.0,10.25,0.0,1.0,0.0,0.0,65.9
2023-08,24.11,22.63,2.6,2.0,8.88,12.32,3.99,0.0,1.02,0.0,0.0,0.0,2.05,3.18,0.5,0.58,13.0,6.25,1.32,0.0,1.25,0.0,0.42,2.0,1.0,0.0,0.0,0.0,0.0,0.4,3.25,0.0,0.0,0.93,0.0,113.68
2023-09,36.37,5.75,13.85,7.42,3.17,7.82,12.67,2.94,1.0,1.0,0.0,0.0,1.41,3.25,0.25,5.49,0.0,53.12,0.33,0.0,3.99,1.15,0.63,0.0,2.5,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,164.44
2023-10,31.8,1.63,4.47,4.78,0.58,16.87,9.98,2.03,0.75,2.25,2.25,0.0,2.5,3.43,0.25,5.81,0.0,0.0,1.95,0.0,0.66,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.3,95.91
2023-11,35.28,7.51,5.46,5.94,11.8,7.05,13.79,3.56,1.21,0.0,7.37,3.25,0.48,1.08,0.0,1.6,1.0,0.0,1.83,0.0,0.5,4.62,0.5,0.0,5.0,0.0,1.21,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,120.54
2023-12,36.81,9.94,6.4,2.1,3.51,7.5,8.26,2.57,2.04,0.63,0.96,4.98,0.88,0.5,0.0,0.94,1.98,0.0,1.1,0.5,0.0,0.92,2.96,0.98,3.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,100.14
2024-01,27.51,21.81,4.43,3.02,3.17,10.64,15.91,2.87,1.63,3.49,3.7,0.75,1.34,1.68,0.0,1.99,0.0,0.0,1.19,0.33,1.45,1.36,5.15,0.0,0.0,0.0,0.12,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,114.04
2024-02,21.43,7.18,7.64,7.15,11.86,12.08,7.44,4.14,1.45,0.0,2.55,0.0,1.57,1.4,0.0,0.85,0.0,0.0,1.08,0.0,7.98,0.0,1.57,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,98.7
