Category,India NH,India AH,USA NH,USA AH,TOTAL
Uncategorized,233.38,455.14,288.02,19.42,995.96
Routine: Patch management / Windows Update / missing patches,589.1,197.41,3.0,0.0,789.51
Routine: CrowdStrike / EDR agent version updates,119.83,140.92,0.0,0.0,260.75
Routine: MyRMM / ManageEngine / N-able / RMM agent version updates,91.63,113.38,0.0,0.0,205.01
Project: NewStar ERP upgrade / updates / support,45.71,79.5,56.05,7.0,188.26
Routine: Weekly Maintenance Window,90.85,53.83,0.0,0.0,144.68
Routine: Antivirus / Malware scan,52.99,66.85,0.0,0.0,119.84
Routine: ScreenConnect / MyRemote agent updates,50.5,68.55,0.0,0.0,119.05
Project: RMM / tooling install on new machines,40.36,63.01,0.0,0.0,103.37
Routine: Individual user / PC / laptop issue (named),3.18,23.4,57.25,9.0,92.83
Routine: Network / Internet / ISP / Wi-Fi issue,41.48,40.85,6.92,0.0,89.25
Project: Server / VM / ESXi / VMware upgrade or rebuild,32.53,46.63,6.41,1.98,87.55
Routine: Generic help / troubleshoot / support,10.26,53.28,4.25,6.5,74.29
Routine: Server/DC issue (generic),30.85,8.56,6.5,24.5,70.41
Routine: Monitoring alert — CPU / memory / disk utilization,41.88,25.95,0.92,0.0,68.75
Routine: Email / Outlook / spam / phishing,1.25,54.35,11.75,0.0,67.35
Project: Windows 11 / PC refresh / laptop deploy,0.0,13.77,44.43,7.75,65.95
Project: OneDrive / SharePoint data migration,34.05,26.44,5.0,0.0,65.49
Routine: Backup job / Veeam alert / failure,39.71,14.9,5.83,0.0,60.44
Routine: Monitoring alert — device down / not responding / agent offline,20.94,23.27,0.0,0.0,44.21
Routine: File access / Shared drive / OneDrive sync / Permissions,4.09,33.28,5.74,1.0,44.11
Routine: Printer / Scanner / Peripheral,1.04,28.0,15.0,0.0,44.04
"Routine: Hardware troubleshoot (slow, freeze, bsod, boot)",4.42,31.42,7.83,0.0,43.67
Project: Backup / Veeam / Replication setup or rebuild,16.33,15.06,2.0,0.0,33.39
Routine: Onboarding / Offboarding user,0.0,1.66,23.25,0.0,24.91
Routine: Monitoring alert — generic critical / MonitorField,12.69,9.91,0.0,0.0,22.6
Routine: Admin / Approvals / Signatures / Meetings,2.89,16.01,2.58,0.0,21.48
Project: Firewall / VPN / Network buildout,0.5,1.5,14.58,2.25,18.83
Routine: VPN troubleshoot,0.0,7.48,10.75,0.0,18.23
Routine: User login / password / account lockout,2.17,10.84,2.25,0.0,15.26
Project: File server / data migration,3.25,5.25,3.0,2.0,13.5
Project: Security / EDR / CrowdStrike / Umbrella / SSL / MFA rollout,4.45,7.05,0.5,0.0,12.0
Routine: Web / app 404 / site down,0.0,4.9,4.71,0.0,9.61
Routine: Phone / Voice / Teams / Conferencing,1.21,2.53,5.5,0.0,9.24
Routine: Weekly firewall / config backup,3.2,3.08,0.0,0.0,6.28
