id,hostname,platform,os,version,edr_version,last_callback_at,last_survey_at,defender_status,defender_policy_status,firewall_status,ipv4_address,external_ip,domain_name,serial_number,organization_id,account_id,arch,created_at,defender_substatus,mac_addresses,service_pack_major,service_pack_minor,os_build_version,os_major,os_minor,os_patch,tags,updated_at,version_number,win_build_number
16178682,BWH-HQ-LT-02,windows,Windows 11 Pro,0.14.150,0.7.49,2026-04-11T20:51:18Z,2026-04-11T20:05:58Z,Unmanaged,Non Compliant,Enabled,192.168.4.34,47.151.4.3,BRANDYWINEDEV,CSGNDY3,429252,31342,amd64,2026-04-08T21:05:03Z,Other AV,"[""00:ff:93:94:17:1c"", ""c4:3d:1a:e6:d2:2d"", ""c4:3d:1a:e6:d2:2e"", ""c4:3d:1a:e6:d2:31"", ""c6:3d:1a:e6:d2:2d""]",0,0,26200,10,0,0,[],2026-04-11T20:06:00Z,917654,
16009623,TABLET-AB7MOH3D,windows,Windows 11 Pro,0.14.162,0.7.49,2026-04-27T21:08:12Z,2026-04-27T20:48:27Z,Unmanaged,Non Compliant,Disabled,192.168.4.27,47.155.81.42,BRANDYWINEDEV,0F010BE221101J,429252,31342,amd64,2026-03-27T05:14:48Z,Other AV,"[""00:ff:d8:80:3a:ad"", ""60:a5:e2:dd:2c:d2"", ""60:a5:e2:dd:2c:d3"", ""60:a5:e2:dd:2c:d6"", ""62:a5:e2:dd:2c:d2"", ""bc:83:85:f6:ec:47""]",0,0,26200,10,0,0,[],2026-04-27T23:30:34Z,917666,
15940881,BWLAP-06,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T15:54:19Z,2026-04-29T16:06:27Z,Unmanaged,Non Compliant,Enabled,10.1.1.104,64.58.142.218,BRANDYWINEDEV,5CG22136GK,429252,31342,amd64,2026-03-23T04:10:58Z,Other AV,"[""00:ff:4d:ee:d2:6b"", ""5c:60:ba:34:42:2d"", ""bc:6e:e2:e5:e6:ab"", ""bc:6e:e2:e5:e6:ac"", ""bc:6e:e2:e5:e6:af"", ""be:6e:e2:e5:e6:ab""]",0,0,26200,10,0,0,[],2026-04-29T16:06:39Z,917666,
15940852,BWLAP-10,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:07:00Z,2026-04-29T09:56:50Z,Unmanaged,Non Compliant,Disabled,192.168.1.253,76.168.46.2,BRANDYWINEDEV,001737304657,429252,31342,amd64,2026-03-23T04:00:58Z,Other AV,"[""00:09:0f:aa:00:01"", ""00:09:0f:fe:00:01"", ""00:ff:de:6a:d5:a8"", ""6c:a1:00:12:00:0a"", ""6c:a1:00:12:00:0b"", ""6c:a1:00:12:00:0e"", ""6e:a1:00:12:00:0a"", ""a0:4a:5e:cb:da:da""]",0,0,26200,10,0,0,[],2026-04-29T16:07:00Z,917666,
15940842,BWH-HQ-LT-09,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T15:59:01Z,2026-04-29T06:57:38Z,Unmanaged,Non Compliant,Enabled,10.1.1.183,98.174.153.35,BRANDYWINEDEV,5FQBR54,429252,31342,amd64,2026-03-23T03:56:22Z,Other AV,"[""00:ff:68:7c:cf:08"", ""c0:47:0e:13:74:2a"", ""c0:47:0e:13:74:2b"", ""c4:47:4e:8c:07:4e"", ""c4:47:4e:8c:07:4f"", ""c4:47:4e:8c:07:52"", ""c6:47:4e:8c:07:4e""]",0,0,26200,10,0,0,[],2026-04-29T14:59:36Z,917666,
15940833,BWH-HQ-LT-07,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:15:21Z,2026-04-29T01:51:18Z,Unmanaged,Non Compliant,Enabled,10.1.1.121,98.174.153.35,BRANDYWINEDEV,9BQBR54,429252,31342,amd64,2026-03-23T03:50:59Z,Other AV,"[""00:ff:aa:0a:40:ff"", ""c0:47:0e:13:79:e0"", ""c0:47:0e:13:79:e1"", ""c4:47:4e:8d:03:ab"", ""c4:47:4e:8d:03:ac"", ""c4:47:4e:8d:03:af"", ""c6:47:4e:8d:03:ab""]",0,0,26200,10,0,0,[],2026-04-29T16:15:21Z,917666,
15831508,Loaner-03,windows,Windows 11 Pro,0.14.162,0.7.46,2026-04-22T22:24:57Z,2026-04-22T22:05:10Z,Unmanaged,Non Compliant,Enabled,10.120.52.120,64.58.160.218,,H4FJST3,429252,31342,amd64,2026-03-12T22:02:49Z,Other AV,"[""68:7a:64:75:46:b7"", ""68:7a:64:75:46:b8"", ""68:7a:64:75:46:bb"", ""6a:7a:64:75:46:b7""]",0,0,26200,10,0,0,[],2026-04-22T22:05:12Z,917666,
15784085,BWWS-Conf2,windows,Windows 11 Pro,0.14.146,0.7.45,2026-03-12T16:43:43Z,2026-03-12T00:56:08Z,Unmanaged,Non Compliant,Disabled,10.1.1.188,64.58.142.218,BRANDYWINEDEV,69N8TC3,429252,31342,amd64,2026-03-10T07:31:13Z,Other AV,"[""00:ff:02:8c:dc:e6"", ""70:b5:e8:51:4e:21"", ""e8:f4:08:4b:2b:2a"", ""e8:f4:08:4b:2b:2b"", ""e8:f4:08:4b:2b:2e"", ""ea:f4:08:4b:2b:2a""]",0,0,26100,10,0,0,[],2026-03-12T14:55:19Z,917650,
15784060,BWWS017-PC,windows,Windows 11 Pro for Workstations,0.14.162,0.7.54,2026-04-29T15:57:55Z,2026-04-29T15:37:50Z,Unmanaged,Non Compliant,Disabled,10.1.1.185,98.174.153.35,BRANDYWINEDEV,MXL9114BMR,429252,31342,amd64,2026-03-10T07:22:05Z,Other AV,"[""00:ff:ea:70:6c:1a"", ""10:e7:c6:4e:3f:4c""]",0,0,26100,10,0,0,[],2026-04-29T15:37:52Z,917666,
15784038,BWWS016-PC,windows,Windows 11 Pro for Workstations,0.14.162,0.7.54,2026-04-29T15:54:42Z,2026-04-28T17:13:51Z,Unmanaged,Non Compliant,Enabled,10.1.1.172,64.58.142.218,BRANDYWINEDEV,2UA8411RT7,429252,31342,amd64,2026-03-10T07:16:39Z,Other AV,"[""00:ff:74:79:e2:32"", ""10:e7:c6:29:d1:5e""]",0,0,26100,10,0,0,[],2026-04-29T15:54:42Z,917666,
