InvoiceID,InvoiceNo,DueDate,InvoiceDate,Paid,Total,InvoiceType,Status,Title,PaymentDate
45973,28269,2026-05-24,2026-04-24,0.0000,350.0000,Recurring,Sent to QB,CAM : Recurring Invoice,
44967,27623,2026-02-22,2026-01-23,453.0000,453.0000,WeeklyOut,Paid,Out Of Contract,
43844,26499,2025-09-21,2025-08-22,187.5000,187.5000,WeeklyOut,Paid,Out Of Contract,2025-09-08
42774,25285,2025-05-07,2025-04-07,350.0000,350.0000,Invoice,Paid,3CX Renewal,2025-04-25
42359,11787,2025-03-24,2025-02-22,0.0000,0.0000,Weekly,Paid,Weekly Invoice,
42342,12168,2025-03-16,2025-02-14,112.5000,112.5000,WeeklyOut,Paid,Out Of Contract,2025-03-31
42305,12136,2025-03-13,2025-02-11,990.0000,990.0000,Invoice,Paid,Upgrade 3CX and Network Configuration,2025-03-31
40169,10165,2024-06-30,2024-05-31,66.0000,66.0000,WeeklyOut,Paid,Out Of Contract,2024-06-17
40123,10053,2024-06-23,2024-05-24,177.0000,177.0000,WeeklyOut,Paid,Out Of Contract,2024-06-17
39599,9585,2024-05-12,2024-04-12,100.5000,100.5000,WeeklyOut,Paid,Out Of Contract,2024-05-07
39285,9518,2024-05-09,2024-04-09,265.0000,265.0000,Invoice,Paid,3cx annual renewal,2024-04-18
38141,8256,2024-01-21,2023-12-22,49.5000,49.5000,Weekly,Paid,Weekly Invoice,
38039,8009,2024-01-07,2023-12-08,588.0000,588.0000,Weekly,Paid,Weekly Invoice,2024-01-02
38002,5993,2023-12-31,2023-12-01,175.5000,175.5000,Weekly,Paid,Weekly Invoice,2024-01-02
37808,5806,2023-12-10,2023-11-10,199.5000,199.5000,Weekly,Paid,Weekly Invoice,2024-01-02
37594,5594,2023-11-19,2023-10-20,49.5000,49.5000,Weekly,Paid,Weekly Invoice,2023-11-22
35727,3813,2023-04-09,2023-03-10,187.5000,187.5000,Weekly,Paid,Weekly Invoice,2023-04-05
35293,3404,2023-02-19,2023-01-19,265.0000,265.0000,Invoice,Paid,Renewal 3cx,2023-01-31
35276,3380,2023-02-12,2023-01-13,49.5000,49.5000,Weekly,Paid,Weekly Invoice,2023-01-31
34640,2778,2022-11-27,2022-10-28,150.0000,150.0000,Weekly,Paid,Weekly Invoice,2023-01-09
34317,2548,2022-10-23,2022-09-23,117.0000,117.0000,Weekly,Paid,Weekly Invoice,2022-11-15
34249,2185,2022-10-09,2022-09-09,138.0000,138.0000,Weekly,Paid,Weekly Invoice,2022-11-15
33887,1827,2022-08-21,2022-07-22,475.5000,475.5000,Weekly,Paid,Weekly Invoice,2022-09-01
32448,1361,2022-06-26,2022-05-27,75.0000,75.0000,Weekly,Paid,Weekly Invoice,2022-06-22
30840,856,2022-04-24,2022-03-25,105.0000,105.0000,Weekly,Paid,Weekly Invoice,2022-04-23
30785,813,2022-04-17,2022-03-18,120.0000,120.0000,Weekly,Paid,Weekly Invoice,2022-04-23
30205,287,2022-02-13,2022-01-14,382.5000,382.5000,Weekly,Paid,Weekly Invoice,2022-03-01
29984,77,2022-01-23,2021-12-24,238.5000,238.5000,Weekly,Paid,Weekly Invoice,2022-01-24
29956,49,2022-01-22,2021-12-23,265.0000,265.0000,Invoice,Paid,3CX License,2021-12-23
28612,43100,2021-09-12,2021-08-13,45.0000,45.0000,Weekly,Paid,Weekly Invoice,
28431,42888,2021-08-29,2021-07-30,42.0000,42.0000,Weekly,Paid,Weekly Invoice,2021-09-09
28304,42777,2021-08-08,2021-07-09,45.0000,45.0000,Weekly,Paid,Weekly Invoice,2021-08-31
28059,42527,2021-07-11,2021-06-11,37.5000,37.5000,Weekly,Paid,Weekly Invoice,2021-06-22
27579,42054,2021-05-16,2021-04-16,63.0000,63.0000,Weekly,Paid,Weekly Invoice,
27421,41907,2021-05-02,2021-04-02,400.5000,400.5000,Weekly,Paid,Weekly Invoice,
27378,41878,2021-04-25,2021-03-26,637.5000,637.5000,Weekly,Paid,Weekly Invoice,
27304,41775,2021-04-11,2021-03-12,732.0000,732.0000,Weekly,Paid,Weekly Invoice,2021-03-30
26758,41268,2021-02-13,2021-01-14,325.0000,325.0000,Invoice,Paid,3cx annual renwal,2021-01-22
26226,40739,2020-12-06,2020-11-06,37.5000,37.5000,Weekly,Paid,Weekly Invoice,
26016,40529,2020-11-15,2020-10-16,37.5000,37.5000,Weekly,Paid,Weekly Invoice,
25970,40479,2020-11-08,2020-10-09,37.5000,37.5000,Weekly,Paid,Weekly Invoice,2020-10-22
25534,40063,2020-09-27,2020-08-28,37.5000,37.5000,Weekly,Paid,Weekly Invoice,2020-09-14
24784,39400,2020-07-12,2020-06-12,37.5000,37.5000,Weekly,Paid,Weekly Invoice,
23285,37956,2020-03-01,2020-01-31,1135.5000,1135.5000,Weekly,Paid,Weekly Invoice,
23199,37913,2020-02-26,2020-01-27,325.0000,325.0000,Invoice,Paid,3CX Renewal,
17201,31845,2018-09-05,2018-08-06,273.6900,273.6900,Invoice,Paid,3CX Maintenance Renewal - 8SC PRO,
