id,hostname,platform,os,version,edr_version,last_callback_at,last_survey_at,defender_status,defender_policy_status,firewall_status,ipv4_address,external_ip,domain_name,serial_number,organization_id,account_id,arch,created_at,defender_substatus,mac_addresses,service_pack_major,service_pack_minor,os_build_version,os_major,os_minor,os_patch,tags,updated_at,version_number,win_build_number
13461187,Jason’s MacBook Pro,darwin,macOS Tahoe 26,0.14.160,,2026-04-29T16:14:29Z,2026-04-29T16:04:25Z,Incompatible,Unknown,Disabled,192.168.4.137,67.203.129.254,,FMWR000PY3,429253,31342,arm64,2025-08-19T15:48:07Z,Incompatible,"[""00:e0:4c:36:85:40"", ""36:a1:62:ab:1c:00"", ""36:a1:62:ab:1c:00"", ""36:a1:62:ab:1c:04"", ""36:a1:62:ab:1c:08"", ""6e:f2:1b:7b:33:09"", ""6e:f2:1b:7b:33:0a"", ""6e:f2:1b:7b:33:0b"", ""6e:f2:1b:7b:33:e9"", ""6e:f2:1b:7b:33:ea"", ""6e:f2:1b:7b:33:eb"", ""e6:33:50:42:aa:d5"", ""ee:34:c3:8f:b2:37"", ""ee:34:c3:8f:b2:37"", ""f6:25:55:60:3d:36""]",0,0,25E253,26,4,1,[],2026-04-29T15:02:12Z,917664,
11845243,CBILT12,windows,Windows 11 Enterprise,0.14.162,0.7.54,2026-04-29T16:07:52Z,2026-04-29T15:49:19Z,Unmanaged,Non Compliant,Enabled,192.168.1.56,70.167.118.187,,467HSW3,429253,31342,amd64,2025-03-27T01:36:20Z,Other AV,"[""44:38:e8:39:2d:6c"", ""44:38:e8:39:2d:6d"", ""44:38:e8:39:2d:70"", ""46:38:e8:39:2d:6c"", ""d0:c1:b5:53:91:ab""]",0,0,26100,10,0,0,[],2026-04-29T15:49:20Z,917666,
11486631,Jason-Surface,windows,Windows 11 Enterprise,0.14.150,0.7.49,2026-04-10T20:31:07Z,2026-04-10T20:10:21Z,Unmanaged,Non Compliant,Enabled,192.168.5.13,107.204.223.68,,BK33H7C24463M4,429253,31342,amd64,2025-02-19T19:36:09Z,Other AV,"[""c4:47:4e:92:f3:4c"", ""c4:47:4e:92:f3:4d"", ""c4:47:4e:92:f3:50"", ""c6:47:4e:92:f3:4c""]",0,0,22631,10,0,0,[],2026-04-10T20:10:50Z,917654,
11428171,CBILT09,windows,Windows 11 Enterprise,0.14.162,0.7.54,2026-04-29T15:41:59Z,2026-04-29T14:50:11Z,Unmanaged,Non Compliant,Enabled,192.168.4.46,68.101.162.62,,63GGTV3,429253,31342,amd64,2025-02-13T17:50:58Z,Other AV,"[""98:59:7a:bb:0d:9b"", ""98:59:7a:bb:0d:9c""]",0,0,22631,10,0,0,[],2026-04-29T14:50:13Z,917666,
11413798,CBILT04,windows,Windows 10 Enterprise,0.14.162,0.7.49,2026-04-23T15:41:02Z,2026-04-23T15:25:02Z,Unmanaged,Non Compliant,Enabled,192.168.1.168,107.131.129.217,,CT0Y473,429253,31342,amd64,2025-02-12T18:17:34Z,Other AV,"[""18:26:49:d8:70:4d"", ""18:26:49:d8:70:4e"", ""18:26:49:d8:70:51"", ""1a:26:49:d8:70:4d""]",0,0,19045,10,0,0,[],2026-04-23T15:41:02Z,917666,
11389015,CBILT10,windows,Windows 11 Enterprise,0.14.162,0.7.54,2026-04-29T05:26:19Z,2026-04-29T04:00:34Z,Unmanaged,Non Compliant,Enabled,192.168.1.185,76.87.251.109,,H4LNRW3,429253,31342,amd64,2025-02-11T00:46:52Z,Other AV,"[""98:59:7a:36:48:db"", ""98:59:7a:36:48:dc"", ""98:59:7a:36:48:df""]",0,0,22631,10,0,0,[],2026-04-29T04:54:27Z,917666,
11356911,CBILT11,windows,Windows 11 Enterprise,0.14.162,0.7.54,2026-04-28T18:49:21Z,2026-04-29T16:07:56Z,Unmanaged,Non Compliant,Enabled,192.168.254.194,75.83.216.86,,C2FQSW3,429253,31342,amd64,2025-02-06T23:28:36Z,Other AV,"[""10:98:19:5b:7b:ec"", ""e8:bf:b8:ad:72:35"", ""e8:bf:b8:ad:72:36"", ""ea:bf:b8:ad:72:35""]",0,0,22631,10,0,0,[],2026-04-29T16:07:59Z,917666,
11352418,CBILT06,windows,Windows 11 Enterprise,0.14.162,0.7.54,2026-04-29T16:14:20Z,2026-04-29T15:34:12Z,Unmanaged,Non Compliant,Enabled,192.168.5.131,47.151.249.129,,D90BLN3,429253,31342,amd64,2025-02-06T18:35:00Z,Other AV,"[""08:92:04:1c:a0:9e"", ""4c:44:5b:99:22:85"", ""4c:44:5b:99:22:86"", ""4c:44:5b:99:22:89"", ""4e:44:5b:99:22:85""]",0,0,26100,10,0,0,[],2026-04-29T15:34:15Z,917666,
11348544,CBILT07,windows,Windows 10 Enterprise,0.14.162,0.7.54,2026-04-29T16:14:35Z,2026-04-29T16:03:43Z,Unmanaged,Non Compliant,Disabled,192.168.4.108,67.203.129.254,,28GCJR3,429253,31342,amd64,2025-02-06T14:59:52Z,Other AV,"[""04:cf:4b:0e:9f:07"", ""04:cf:4b:0e:9f:08"", ""04:cf:4b:0e:9f:0b"", ""06:cf:4b:0e:9f:07"", ""cc:96:e5:a7:66:d9""]",0,0,19045,10,0,0,[],2026-04-29T16:03:45Z,917666,
11348050,CBILT03,windows,Windows 10 Enterprise,0.14.162,0.7.54,2026-04-29T16:06:58Z,2026-04-29T14:14:16Z,Unmanaged,Non Compliant,Enabled,192.168.4.133,67.203.129.254,,6528NN3,429253,31342,amd64,2025-02-06T14:19:49Z,Other AV,"[""08:92:04:7e:77:15"", ""f8:9e:94:40:fb:e1"", ""f8:9e:94:40:fb:e2"", ""fa:9e:94:40:fb:e1""]",0,0,19045,10,0,0,[],2026-04-29T16:06:58Z,917666,
