InvoiceID,InvoiceNo,DueDate,InvoiceDate,Paid,Total,InvoiceType,Status,PaymentDate,Title
43770,26463,2025-09-18,2025-08-19,1855.3300,1855.3300,Invoice,Paid,2025-09-15,Veeam Renewal
41327,11263,2024-11-03,2024-10-03,1710.0000,1710.0000,Invoice,Paid,2024-11-04,Veeam Renewal
37231,5271,2023-10-08,2023-09-08,1623.3300,1623.3300,Invoice,Paid,,Veeam Renewal
30864,2566,2022-10-29,2022-09-29,1240.0000,1240.0000,Invoice,Paid,2022-10-14,Veeam
30201,283,2022-02-13,2022-01-14,125.0000,125.0000,Weekly,Paid,,Weekly Invoice
30164,246,2022-02-06,2022-01-07,312.5000,312.5000,Weekly,Paid,,Weekly Invoice
29980,73,2022-01-23,2021-12-24,1125.0000,1125.0000,Weekly,Paid,,Weekly Invoice
29921,24,2022-01-16,2021-12-17,437.5000,437.5000,Weekly,Paid,,Weekly Invoice
29171,43819,2022-01-10,2021-12-10,7500.0000,7500.0000,Invoice,Paid,2021-12-22,CTO Retainer
29876,43862,2022-01-09,2021-12-10,2187.5000,2187.5000,Weekly,Paid,,Weekly Invoice
10653,23938,2017-06-12,2017-05-12,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
10435,23758,2017-06-01,2017-05-01,9323.7800,9323.7800,Monthly,Paid,,Golden Rain Foundation - LWSB : Monthly Invoice For My Virtual Tech - Pro
10133,23388,2017-05-01,2017-04-01,9323.7800,9323.7800,Monthly,Paid,,Golden Rain Foundation - LWSB : Monthly Invoice For My Virtual Tech - Pro
10057,23294,2017-04-30,2017-03-31,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
10010,23230,2017-04-24,2017-03-24,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
8950,23169,2017-04-17,2017-03-17,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
8906,23111,2017-04-10,2017-03-10,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
8789,22980,2017-04-03,2017-03-03,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
