id,hostname,platform,os,version,edr_version,last_callback_at,last_survey_at,defender_status,defender_policy_status,firewall_status,ipv4_address,external_ip,domain_name,serial_number,organization_id,account_id,arch,created_at,defender_substatus,mac_addresses,service_pack_major,service_pack_minor,os_build_version,os_major,os_minor,os_patch,tags,updated_at,version_number,win_build_number
16097544,JDH-HQ-PC-09-new,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:13:31Z,2026-04-29T10:23:04Z,Unmanaged,Non Compliant,Enabled,10.120.52.193,64.58.160.218,,5CG22098XD,429259,31342,amd64,2026-04-02T23:06:28Z,Other AV,"[""60:5b:30:0c:12:85"", ""70:a8:d3:42:ee:0b"", ""70:a8:d3:42:ee:0c"", ""70:a8:d3:42:ee:0f"", ""72:a8:d3:42:ee:0b""]",0,0,26200,10,0,0,[],2026-04-29T14:32:50Z,917666,
16059214,DESKTOP-GHK25L8,windows,Windows 11 Pro,0.14.150,0.7.49,2026-04-02T14:01:31Z,2026-04-02T12:52:54Z,Unhealthy,Compliant,Disabled,10.120.50.204,64.58.160.218,,2UA73923S6,429259,31342,amd64,2026-03-31T20:05:40Z,Other AV,"[""40:b0:34:47:d4:e6""]",0,0,26200,10,0,0,[],2026-04-02T12:52:57Z,917654,
13357259,DELL2017,windows,Windows 7 Professional,0.14.162,,2026-04-29T16:01:00Z,2026-04-28T22:21:28Z,Incompatible,Non Compliant,Disabled,10.0.0.100,12.231.12.98,JDH,94NDGK2,429259,31342,amd64,2025-08-11T03:31:34Z,Incompatible + Other AV,"[""50:9a:4c:0e:4c:8d"", ""54:13:79:04:3f:9d"", ""54:13:79:04:3f:9e""]",1,0,7601,6,1,0,[],2026-04-29T15:33:01Z,917666,
11864499,JDH-HQ-PC-03,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:07:08Z,2026-04-29T08:30:47Z,Unmanaged,Non Compliant,Disabled,10.0.0.121,12.231.12.100,,D01TF24,429259,31342,amd64,2025-03-28T16:58:49Z,Other AV,"[""58:6d:67:2f:ed:6a"", ""58:6d:67:2f:ed:6b"", ""58:6d:67:2f:ed:6e"", ""5a:6d:67:2f:ed:6a"", ""c4:5a:b1:fa:a3:36""]",0,0,26200,10,0,0,[],2026-04-29T14:42:29Z,917666,
11655916,JDH-HQ-LPT-02,windows,Windows 11 Home,0.14.132,0.7.32,2026-03-03T01:50:46Z,2026-03-03T02:00:03Z,Unmanaged,Non Compliant,Enabled,192.168.134.240,72.211.235.116,,68MBVT3,429259,31342,amd64,2025-03-07T20:51:17Z,Other AV,"[""68:7a:64:79:66:fc"", ""68:7a:64:79:66:fd"", ""6a:7a:64:79:66:fc"", ""ac:1a:3d:4d:55:a7""]",0,0,26200,10,0,0,[],2026-03-03T02:00:05Z,917636,
11632734,Sophia-JDH,windows,Windows 11 Home,0.14.162,0.7.54,2026-04-29T16:04:33Z,2026-04-29T15:55:14Z,Unmanaged,Non Compliant,Enabled,192.168.71.24,114.92.7.112,,017061602957,429259,31342,amd64,2025-03-05T22:37:39Z,Other AV,"[""c8:34:8e:6a:38:aa"", ""c8:34:8e:6a:38:ab"", ""c8:34:8e:6a:38:ae"", ""ca:34:8e:6a:38:aa""]",0,0,26200,10,0,0,[],2026-04-29T15:55:19Z,917666,
11588792,DESKTOP-FQK6R1Q,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T15:58:57Z,2026-04-29T16:08:42Z,Unmanaged,Non Compliant,Enabled,192.168.0.42,75.97.112.177,,9FWR5X3,429259,31342,amd64,2025-03-01T12:32:52Z,Other AV,"[""8c:17:59:43:03:96"", ""8c:17:59:43:03:97"", ""cc:96:e5:20:17:38""]",0,0,26200,10,0,0,[],2026-04-29T16:08:43Z,917666,
11588786,Donald-WS-Home,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:11:20Z,2026-04-29T14:00:20Z,Unmanaged,Non Compliant,Enabled,192.168.134.233,72.211.235.116,,6GQ0XP3,429259,31342,amd64,2025-03-01T12:24:21Z,Other AV,"[""74:86:e2:19:f3:94""]",0,0,26200,10,0,0,[],2026-04-29T15:51:36Z,917666,
11412777,JDH-WHOFFICE,windows,Windows 10 Pro,0.14.162,0.7.54,2026-04-29T16:04:01Z,2026-04-29T16:09:55Z,Unmanaged,Compliant,Enabled,10.81.0.2,12.244.255.254,JDH,JK4GL83,429259,31342,amd64,2025-02-12T17:09:00Z,Other AV,"[""00:ff:e3:3d:3e:40"", ""70:b5:e8:43:2d:58"", ""e0:d4:64:ce:c1:65"", ""e0:d4:64:ce:c1:66"", ""e2:d4:64:ce:c1:65""]",0,0,19045,10,0,0,[],2026-04-29T16:09:57Z,917666,
11375220,faro-laptop,windows,Windows 10 Pro,0.14.162,0.7.49,2026-04-27T02:42:31Z,2026-04-27T02:21:46Z,Unmanaged,Non Compliant,Enabled,192.168.4.51,47.146.156.111,JDH,D9X43C2,429259,31342,amd64,2025-02-09T19:34:21Z,Other AV,"[""58:fb:84:06:d4:ca"", ""58:fb:84:06:d4:cb"", ""5a:fb:84:06:d4:ca""]",0,0,19045,10,0,0,[],2026-04-27T02:21:48Z,917666,
