InvoiceID,InvoiceNo,DueDate,InvoiceDate,Paid,Total,InvoiceType,Status,PaymentDate,Title
44974,27627,2026-02-28,2026-01-29,395.0000,395.0000,Invoice,Paid,2026-03-09,3cx renewal
44733,27419,2026-01-31,2026-01-01,295.0000,295.0000,Recurring,Paid,2026-01-29,KCC : Recurring Invoice
44442,27175,2025-12-28,2025-11-28,324.0000,324.0000,WeeklyOut,Paid,2025-12-30,Out Of Contract
44412,27133,2025-12-21,2025-11-21,150.0000,150.0000,WeeklyOut,Paid,2026-01-06,Out Of Contract
44090,26854,2025-10-27,2025-09-27,900.0000,900.0000,One-Time,Paid,2025-11-06,One-Time Invoice For Phase 3
44041,26698,2025-10-14,2025-09-14,1800.0000,1800.0000,One-Time,Paid,2025-10-10,One-Time Invoice For Phase 2
44001,26662,2025-10-11,2025-09-11,600.0000,600.0000,One-Time,Paid,2025-10-10,One-Time Invoice For Phase 1
43724,26292,2025-08-31,2025-08-01,300.0000,300.0000,WeeklyOut,Paid,2025-08-29,Out Of Contract
43603,26132,2025-08-24,2025-07-25,112.5000,112.5000,WeeklyOut,Paid,2025-08-21,Out Of Contract
41974,11803,2025-01-31,2025-01-01,295.0000,295.0000,Recurring,Paid,,KCC : Recurring Invoice
41947,11780,2025-01-31,2024-12-31,0.0000,0.0000,Invoice,Void,,3cx renewal
41450,11323,2024-11-25,2024-10-26,24.7500,24.7500,WeeklyOut,Paid,,Out Of Contract
38686,8743,2024-03-03,2024-02-02,220.5000,220.5000,Weekly,Paid,2024-03-01,Weekly Invoice
38547,8652,2024-02-29,2024-01-29,265.0000,265.0000,Invoice,Paid,2024-03-01,3cx renewal
38344,8472,2024-02-04,2024-01-05,37.5000,37.5000,Weekly,Paid,2024-02-02,Weekly Invoice
37499,5504,2023-11-05,2023-10-06,45.0000,45.0000,Weekly,Paid,2023-11-22,Weekly Invoice
36046,4135,2023-05-28,2023-04-28,228.0000,228.0000,Weekly,Paid,2023-06-01,Weekly Invoice
35563,3675,2023-03-26,2023-02-24,63.0000,63.0000,Weekly,Paid,2023-04-10,Weekly Invoice
34339,2567,2022-10-30,2022-09-30,265.0000,265.0000,Invoice,Paid,2022-11-02,3cx renewal
30839,855,2022-04-24,2022-03-25,105.0000,105.0000,Weekly,Paid,2022-05-12,Weekly Invoice
30167,249,2022-02-06,2022-01-07,49.5000,49.5000,Weekly,Paid,2022-02-01,Weekly Invoice
29983,76,2022-01-23,2021-12-24,186.0000,186.0000,Weekly,Paid,2022-01-24,Weekly Invoice
29403,43751,2021-11-28,2021-10-29,45.0000,45.0000,Weekly,Paid,2021-11-29,Weekly Invoice
29164,43575,2021-11-04,2021-10-04,265.0000,265.0000,Invoice,Paid,2021-11-29,3cx renewal
28260,42732,2021-08-01,2021-07-02,92.0000,92.0000,Weekly,Paid,,Weekly Invoice
28142,42613,2021-07-25,2021-06-25,182.0000,182.0000,Weekly,Paid,2021-07-23,Weekly Invoice
26494,41022,2021-01-10,2020-12-11,25.0000,25.0000,Weekly,Paid,,Weekly Invoice
22097,40333,2020-10-30,2020-09-30,246.0000,246.0000,Invoice,Paid,2020-10-30,3CX 8SC renewal
23941,38601,2020-05-06,2020-04-06,300.0000,300.0000,Invoice,Paid,,Update 3CX to v16
22295,36965,2019-12-01,2019-11-01,8.0000,8.0000,Weekly,Paid,,Weekly Invoice
22152,36807,2019-11-14,2019-10-15,149.0000,149.0000,Invoice,Paid,,3CX Annual Maintenance renewal
21524,36178,2019-09-15,2019-08-16,25.0000,25.0000,Weekly,Paid,,Weekly Invoice
19541,34135,2019-03-24,2019-02-22,175.0000,175.0000,Weekly,Paid,,Weekly Invoice
18768,33376,2019-01-15,2018-12-16,600.0000,600.0000,One-Time,Paid,,One-Time Invoice For Phase 3
18767,33375,2019-01-15,2018-12-16,1200.0000,1200.0000,One-Time,Paid,,One-Time Invoice For Phase 2
18805,33412,2019-01-13,2018-12-14,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
18737,33324,2019-01-06,2018-12-07,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
18557,33173,2019-01-02,2018-12-03,621.0000,0.0000,One-Time,Void,,One-Time Invoice For Phase 1
18552,33170,2019-01-03,2018-12-03,1732.6100,1732.6100,Invoice,Paid,,3CX Phone System Upgrade and Move to SIP Trunk
15283,29824,2018-03-03,2018-02-16,25.5000,25.5000,Weekly,Paid,,Weekly Invoice
14878,27224,2018-01-27,2018-01-12,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
10364,23616,2017-05-06,2017-04-21,400.0000,400.0000,Weekly,Paid,,Weekly Invoice
10068,23270,2017-04-15,2017-03-31,84.0000,84.0000,Weekly,Paid,,Weekly Invoice
