InvoiceID,InvoiceNo,DueDate,InvoiceDate,Paid,Total,InvoiceType,Status,PaymentDate,Title
45657,27988,2026-04-05,2026-03-06,50.0000,50.0000,WeeklyOut,Paid,2026-03-13,Out Of Contract
44890,27526,2026-02-08,2026-01-09,54.2500,54.2500,WeeklyOut,Paid,2026-01-12,Out Of Contract
43553,26088,2025-08-17,2025-07-18,125.0000,125.0000,WeeklyOut,Paid,2025-08-04,Out Of Contract
43503,26044,2025-08-10,2025-07-11,775.0000,775.0000,WeeklyOut,Paid,2025-07-23,Out Of Contract
43465,26043,2025-08-03,2025-07-04,667.0000,667.0000,WeeklyOut,Paid,2025-07-23,Out Of Contract
43355,25905,2025-07-30,2025-06-30,1724.0400,1724.0400,Invoice,Paid,2025-07-07,New computer
41881,11734,2025-01-23,2024-12-23,150.0000,150.0000,Invoice,Paid,2024-12-31,additional move cost
40255,10214,2025-01-20,2024-12-20,300.0000,300.0000,Invoice,Paid,,Onsite Office Computer Setup
19576,34174,2019-03-31,2019-03-01,35.6500,35.6500,Weekly,Paid,,Weekly Invoice
17715,32353,2018-10-14,2018-09-14,77.5000,77.5000,Weekly,Paid,,Weekly Invoice
17491,32146,2018-09-30,2018-08-31,38.7500,38.7500,Weekly,Paid,,Weekly Invoice
17393,32030,2018-09-16,2018-08-17,38.7500,38.7500,Weekly,Paid,,Weekly Invoice
16801,31395,2018-07-29,2018-06-29,116.2500,116.2500,Weekly,Paid,,Weekly Invoice
15248,29850,2018-03-18,2018-02-16,218.7500,218.7500,Weekly,Paid,,Weekly Invoice
15185,29779,2018-03-11,2018-02-09,38.7500,38.7500,Weekly,Paid,,Weekly Invoice
15118,29670,2018-03-04,2018-02-02,38.7500,38.7500,Weekly,Paid,,Weekly Invoice
14954,29513,2018-02-25,2018-01-26,63.7500,63.7500,Weekly,Paid,,Weekly Invoice
14795,27171,2018-02-04,2018-01-05,193.7500,193.7500,Weekly,Paid,,Weekly Invoice
14430,26757,2018-01-07,2017-12-08,38.7500,38.7500,Weekly,Paid,,Weekly Invoice
11789,25217,2017-09-18,2017-08-18,26.3500,26.3500,Weekly,Paid,,Weekly Invoice
6123,24999,2017-09-01,2017-08-01,30.0000,30.0000,Recurring,Paid,,Annual AV Licensing
10264,23527,2017-05-14,2017-04-14,38.7500,38.7500,Weekly,Paid,,Weekly Invoice
6433,21586,2016-12-22,2016-11-22,1279.2200,1279.2200,Invoice,Paid,,MDSuites PC
6611,21388,2016-12-11,2016-11-11,1774.7500,1774.7500,Weekly,Paid,,Weekly Invoice
6448,21211,2016-11-27,2016-10-28,65.1000,65.1000,Weekly,Paid,,Weekly Invoice
