id,hostname,platform,os,version,edr_version,last_callback_at,last_survey_at,defender_status,defender_policy_status,firewall_status,ipv4_address,external_ip,domain_name,serial_number,organization_id,account_id,arch,created_at,defender_substatus,mac_addresses,service_pack_major,service_pack_minor,os_build_version,os_major,os_minor,os_patch,tags,updated_at,version_number,win_build_number
11432873,KABDT004,windows,Windows 10 Pro,0.14.162,0.7.54,2026-04-28T23:10:33Z,2026-04-28T20:31:03Z,Unmanaged,Non Compliant,Enabled,172.16.32.127,50.247.89.142,KABUKISPRINGS,JTB6GZ1,429257,31342,amd64,2025-02-13T20:58:39Z,Other AV,"[""c8:1f:66:36:75:2b""]",0,0,19045,10,0,0,[],2026-04-28T22:22:11Z,917666,
11415468,VMKABDC1,windows,Windows Server 2012 R2 Standard,0.14.162,0.7.54,2026-04-29T16:09:11Z,2026-04-28T23:19:27Z,Incompatible,Non Compliant,Disabled,172.16.32.20,50.247.89.142,KABUKISPRINGS,VMware-56 4d d9 1b 85 26 06 81-8f e7 86 90 bc c2 be 9b,429257,31342,amd64,2025-02-12T20:14:27Z,Incompatible + Other AV,"[""00:0c:29:c2:be:9b""]",0,0,9600,6,3,0,[],2026-04-29T14:25:18Z,917666,
11415176,KSS-HQ-VBR-01,windows,Windows Server 2019 Standard,0.14.162,0.7.54,2026-04-29T16:09:22Z,2026-04-29T11:09:03Z,Unhealthy,Compliant,Disabled,172.16.32.12,50.247.89.142,,VMware-56 4d b5 a7 96 15 50 f7-44 cc b4 35 cb d6 72 f2,429257,31342,amd64,2025-02-12T19:59:37Z,Other AV,"[""00:0c:29:d6:72:f2""]",0,0,17763,10,0,0,[],2026-04-29T15:17:10Z,917666,
11415163,KABDT001,windows,Windows 10 Pro,0.14.162,0.7.54,2026-04-29T16:07:01Z,2026-04-29T15:56:13Z,Unhealthy,Compliant,Disabled,172.16.32.134,50.247.89.142,KABUKISPRINGS,12YHKD3,429257,31342,amd64,2025-02-12T19:57:50Z,Other AV,"[""b0:7b:25:0c:1b:1c""]",0,0,19045,10,0,0,[],2026-04-29T15:56:15Z,917666,
11415157,KABFDBACK,windows,Windows 10 Pro,0.14.162,0.7.54,2026-04-29T16:04:40Z,2026-04-29T02:49:32Z,Unmanaged,Non Compliant,Enabled,172.16.32.130,50.247.89.142,KABUKISPRINGS,7J0HL02,429257,31342,amd64,2025-02-12T19:57:06Z,Other AV,"[""c8:1f:66:18:84:a1""]",0,0,19045,10,0,0,[],2026-04-29T15:36:02Z,917666,
11414991,KABDT003,windows,Windows 10 Pro,0.14.162,0.7.54,2026-04-29T15:55:02Z,2026-04-29T00:22:31Z,Unmanaged,Non Compliant,Enabled,172.16.32.132,50.247.89.142,KABUKISPRINGS,JSWHFZ1,429257,31342,amd64,2025-02-12T19:42:04Z,Other AV,"[""c8:1f:66:36:73:35""]",0,0,19045,10,0,0,[],2026-04-29T14:52:42Z,917666,
11414982,KABRESRIGHT,windows,Windows 10 Pro,0.14.162,0.7.54,2026-04-29T16:02:29Z,2026-04-29T02:58:17Z,Unmanaged,Non Compliant,Enabled,172.16.32.122,50.247.89.142,KABUKISPRINGS,CTL7FW2,429257,31342,amd64,2025-02-12T19:41:32Z,Other AV,"[""6c:2b:59:f4:31:60""]",0,0,19045,10,0,0,[],2026-04-29T16:02:29Z,917666,
11414937,KABSUPPORT,windows,Windows 7 Professional,0.14.162,,2026-04-29T16:07:24Z,2026-04-29T02:21:25Z,Incompatible,Non Compliant,Disabled,172.16.32.119,50.247.89.142,,B65QNW1,429257,31342,amd64,2025-02-12T19:38:01Z,Incompatible + Other AV,"[""78:45:c4:2f:84:97""]",1,0,7601,6,1,0,[],2026-04-29T15:29:56Z,917666,
11414801,KABRESLEFT,windows,Windows 10 Pro,0.14.162,0.7.54,2026-04-29T16:13:09Z,2026-04-29T11:53:17Z,Unmanaged,Non Compliant,Enabled,172.16.32.131,50.247.89.142,KABUKISPRINGS,JT3SFZ1,429257,31342,amd64,2025-02-12T19:26:07Z,Other AV,"[""c8:1f:66:36:42:92""]",0,0,19045,10,0,0,[],2026-04-29T16:03:36Z,917666,
11414740,KABDT002,windows,Windows 10 Pro,0.14.162,0.7.54,2026-04-29T16:08:52Z,2026-04-29T06:09:30Z,Unmanaged,Non Compliant,Disabled,172.16.32.128,50.247.89.142,KABUKISPRINGS,5BG53Q3,429257,31342,amd64,2025-02-12T19:21:08Z,Other AV,"[""08:92:04:dc:57:1c""]",0,0,19045,10,0,0,[],2026-04-29T14:49:21Z,917666,
