id,hostname,platform,os,version,edr_version,last_callback_at,last_survey_at,defender_status,defender_policy_status,firewall_status,ipv4_address,external_ip,domain_name,serial_number,organization_id,account_id,arch,created_at,defender_substatus,mac_addresses,service_pack_major,service_pack_minor,os_build_version,os_major,os_minor,os_patch,tags,updated_at,version_number,win_build_number
11632668,LAPTOP-DDC3I54G,windows,Windows 11 Home,0.14.162,0.7.49,2026-04-18T06:19:03Z,2026-04-18T06:23:30Z,Unmanaged,Non Compliant,Enabled,192.168.0.11,74.213.247.225,,022030710257,429264,31342,amd64,2025-03-05T22:30:31Z,Other AV,"[""70:9c:d1:08:25:00"", ""70:9c:d1:08:25:ff"", ""70:9c:d1:08:26:03"", ""72:9c:d1:08:25:ff""]",0,0,26100,10,0,0,[],2026-04-18T06:23:32Z,917666,
11412804,DESKTOP-4FF8C8K,windows,Windows 10 Pro,0.14.162,0.7.54,2026-04-29T02:02:41Z,2026-04-28T21:17:29Z,Unmanaged,Compliant,Enabled,192.168.1.154,98.153.190.38,,DNFWLP2,429264,31342,amd64,2025-02-12T17:11:26Z,Other AV,"[""7c:76:35:d5:bb:af"", ""7c:76:35:d5:bb:b0"", ""7c:76:35:d5:bb:b3"", ""7e:76:35:d5:bb:af"", ""d8:9e:f3:8d:de:3e""]",0,0,19045,10,0,0,[],2026-04-29T01:26:49Z,917666,
11408302,VMNORRMS,windows,Windows 7 Professional,0.14.162,,2026-04-29T16:02:11Z,2026-04-29T12:06:46Z,Incompatible,Non Compliant,Disabled,192.168.1.55,98.153.190.38,,VMware-56 4d ec 7b fc 35 82 7d-1a 7b f2 85 98 b5 c8 25,429264,31342,amd64,2025-02-12T10:57:21Z,Incompatible + Other AV,"[""00:0c:29:b5:c8:25""]",1,0,7601,6,1,0,[],2026-04-29T16:02:11Z,917666,
11407925,WKNOR-FOM,windows,Windows 10 Pro,0.14.162,0.7.54,2026-04-29T16:09:08Z,2026-04-29T15:22:04Z,Unmanaged,Compliant,Disabled,192.168.1.167,98.153.190.38,,851T582,429264,31342,amd64,2025-02-12T08:46:36Z,Other AV,"[""64:00:6a:3a:4d:57""]",0,0,18363,10,0,0,[],2026-04-29T15:22:13Z,917666,
11407917,WKNOR-FDLEFT,windows,Windows 10 Pro,0.14.162,0.7.54,2026-04-29T16:06:20Z,2026-04-28T21:32:25Z,Unmanaged,Compliant,Disabled,192.168.1.23,98.153.190.38,,H01T582,429264,31342,amd64,2025-02-12T08:44:15Z,Other AV,"[""64:00:6a:2c:bc:8e""]",0,0,19045,10,0,0,[],2026-04-29T14:40:10Z,917666,
11407914,WKNOR-FDRIGHT,windows,Windows 7 Professional,0.14.162,,2026-04-29T16:06:35Z,2026-04-29T02:57:36Z,Incompatible,Non Compliant,Disabled,192.168.1.216,98.153.190.38,,JZ6TCY1,429264,31342,amd64,2025-02-12T08:41:39Z,Incompatible + Other AV,"[""c8:1f:66:15:b8:7a""]",1,0,7601,6,1,0,[],2026-04-29T15:47:16Z,917666,
11407872,WKOR-KEYCARD,windows,Windows 10 Pro,0.14.162,0.7.54,2026-04-29T16:01:42Z,2026-04-29T13:33:16Z,Unmanaged,Compliant,Disabled,192.168.1.21,98.153.190.38,,80X5KQ2,429264,31342,amd64,2025-02-12T08:28:12Z,Other AV,"[""30:24:32:5c:bc:14"", ""30:24:32:5c:bc:15"", ""30:24:32:5c:bc:18"", ""32:24:32:5c:bc:14"", ""d8:9e:f3:9f:5e:de""]",0,0,19045,10,0,0,[],2026-04-29T15:36:14Z,917666,
11407860,WKNOR-BACKOFFICE,windows,Windows 11 Home,0.14.162,0.7.54,2026-04-29T16:12:17Z,2026-04-29T04:52:38Z,Unmanaged,Non Compliant,Disabled,192.168.1.148,98.153.190.38,,MJ0HK0ZF,429264,31342,amd64,2025-02-12T08:24:14Z,Other AV,"[""50:c2:e8:b9:c9:47"", ""52:c2:e8:b9:c9:47"", ""56:c2:e8:b9:c9:47"", ""88:ae:dd:16:35:f9""]",0,0,26200,10,0,0,[],2026-04-29T15:42:23Z,917666,
11407794,WKNOR-HOUSEKEEPING,windows,Windows 10 Pro,0.14.162,0.7.54,2026-04-29T16:01:48Z,2026-04-28T20:04:05Z,Unmanaged,Compliant,Disabled,192.168.1.169,98.153.190.38,,1FY61C2,429264,31342,amd64,2025-02-12T08:03:43Z,Other AV,"[""f4:8e:38:ae:12:23""]",0,0,19045,10,0,0,[],2026-04-29T15:00:40Z,917666,
11407762,NOR-HQ-VBR-01,windows,Windows Server 2008 R2 Standard,0.14.162,,2026-04-29T16:13:02Z,2026-04-28T23:51:27Z,Incompatible,Non Compliant,Disabled,192.168.1.56,98.153.190.38,,VMware-56 4d 39 c2 aa 9e ba db-b5 0c c1 6f d0 00 60 47,429264,31342,amd64,2025-02-12T07:54:22Z,Incompatible,"[""00:0c:29:00:60:47""]",1,0,7601,6,1,0,[],2026-04-29T14:41:11Z,917666,
11407709,WKNOR-CASSELLS,windows,Windows 10 Pro,0.14.162,0.7.54,2026-04-29T16:09:41Z,2026-04-29T02:20:39Z,Unmanaged,Compliant,Enabled,192.168.1.115,98.153.190.38,,2R4TB02,429264,31342,amd64,2025-02-12T07:31:10Z,Other AV,"[""14:b3:1f:1c:5f:50"", ""9c:da:3e:e6:30:70"", ""9c:da:3e:e6:30:71"", ""9c:da:3e:e6:30:74"", ""9e:da:3e:e6:30:70""]",0,0,19045,10,0,0,[],2026-04-29T14:55:13Z,917666,
