id,hostname,platform,os,version,edr_version,last_callback_at,last_survey_at,defender_status,defender_policy_status,firewall_status,ipv4_address,external_ip,domain_name,serial_number,organization_id,account_id,arch,created_at,defender_substatus,mac_addresses,service_pack_major,service_pack_minor,os_build_version,os_major,os_minor,os_patch,tags,updated_at,version_number,win_build_number
16182439,WKORX69,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:11:01Z,2026-04-29T15:31:12Z,Unmanaged,Non Compliant,Disabled,192.168.2.211,107.128.45.252,,H07GZ84,426003,31342,amd64,2026-04-09T07:06:51Z,Other AV,"[""70:08:10:d6:36:cf"", ""70:08:10:d6:36:d0"", ""70:08:10:d6:36:d3"", ""72:08:10:d6:36:cf"", ""e8:cf:83:82:7e:3d""]",0,0,26200,10,0,0,[],2026-04-29T15:31:14Z,917666,
15912060,WKORX-05,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:05:57Z,2026-04-29T15:21:48Z,Unhealthy,Compliant,Disabled,192.168.0.36,12.79.8.230,,9GRXKQ3,426003,31342,amd64,2026-03-19T15:50:23Z,Other AV,"[""74:86:e2:2e:7c:a6"", ""8c:f8:c5:6b:b0:89"", ""8c:f8:c5:6b:b0:8a"", ""8c:f8:c5:6b:b0:8d"", ""8e:f8:c5:6b:b0:89""]",0,0,26200,10,0,0,[],2026-04-29T15:21:59Z,917666,
15674562,ORX-DC-SFTP-01,windows,Windows Server 2022 Standard,0.13.234,0.7.54,2026-04-29T16:14:47Z,2026-04-29T09:22:15Z,Unhealthy,Compliant,Disabled,10.100.106.21,66.81.19.43,,VMware-42 13 71 2e c2 a1 c1 4c-6c 7a d6 81 c1 a5 9f e1,426003,31342,amd64,2026-02-27T22:54:20Z,Other AV,"[""00:50:56:93:32:18""]",0,0,20348,10,0,0,[],2026-04-29T15:26:50Z,852202,
15438308,ORX-HQ-LPT-03,windows,Windows 11 Pro,0.14.162,0.7.49,2026-04-27T21:04:39Z,2026-04-27T19:12:21Z,Unmanaged,Non Compliant,Enabled,192.168.0.82,12.79.8.230,,BXRF3G4,426003,31342,amd64,2026-02-10T03:57:56Z,Other AV,"[""4c:c5:d9:21:9f:d2"", ""64:4a:7d:43:2c:fe"", ""64:4a:7d:43:2c:ff"", ""64:4a:7d:43:2d:02"", ""66:4a:7d:43:2c:fe""]",0,0,26100,10,0,0,[],2026-04-27T21:04:39Z,917666,
15230430,ORX-HQ-LPT-01,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:14:12Z,2026-04-29T16:03:49Z,Unmanaged,Non Compliant,Enabled,192.168.0.89,12.79.8.230,,1MY0DK3,426003,31342,amd64,2026-01-23T04:20:34Z,Other AV,"[""a0:29:19:d7:fb:1f"", ""cc:15:31:1a:37:b3"", ""cc:15:31:1a:37:b4"", ""cc:15:31:1a:37:b7"", ""ce:15:31:1a:37:b3""]",0,0,26200,10,0,0,[],2026-04-29T16:03:50Z,917666,
15054602,WKORX-52,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:12:08Z,2026-04-28T20:29:34Z,Unmanaged,Non Compliant,Enabled,192.168.0.61,12.79.8.230,,8TWN853,426003,31342,amd64,2026-01-08T09:51:51Z,Other AV,"[""a4:bb:6d:d1:94:0b""]",0,0,26200,10,0,0,[],2026-04-29T16:02:53Z,917666,
15054595,LPORX03,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-23T17:13:09Z,2026-04-23T17:01:12Z,Unmanaged,Non Compliant,Enabled,10.158.211.174,12.79.8.230,,BGGXZM2,426003,31342,amd64,2026-01-08T09:50:59Z,Other AV,"[""9c:b6:d0:fa:2d:67"", ""9c:b6:d0:fa:2d:68"", ""9e:b6:d0:fa:2d:67"", ""ae:b6:d0:fa:2d:67""]",0,0,26200,10,0,0,[],2026-04-23T17:02:21Z,917666,
14969847,WKORX70,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:15:01Z,2026-04-28T23:05:39Z,Unmanaged,Non Compliant,Enabled,192.168.0.38,12.79.8.230,,5X6GZ84,426003,31342,amd64,2025-12-30T00:43:19Z,Other AV,"[""c4:ff:99:dd:36:dc"", ""c4:ff:99:dd:36:dd"", ""c4:ff:99:dd:36:e0"", ""c6:ff:99:dd:36:dc"", ""e8:cf:83:82:7a:5d""]",0,0,26200,10,0,0,[],2026-04-29T16:15:01Z,917666,
14887633,ORX-DC-VDI-005,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:01:51Z,2026-04-28T19:11:21Z,Unmanaged,Non Compliant,Disabled,10.100.106.138,66.81.19.126,OXP,VMware-42 13 dc f8 f7 1a ae 5f-54 7e c8 fd 23 b6 75 59,426003,31342,amd64,2025-12-18T12:45:41Z,Other AV,"[""00:50:56:93:c5:5b""]",0,0,26200,10,0,0,[],2026-04-29T14:31:32Z,917666,
14887630,ORX-DC-VDI-004,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:10:00Z,2026-04-28T20:23:36Z,Unmanaged,Non Compliant,Disabled,10.100.106.128,66.81.19.126,OXP,VMware-42 13 36 5a 46 0a 4e f4-d8 b5 d0 02 c0 eb 6b 67,426003,31342,amd64,2025-12-18T12:45:23Z,Other AV,"[""00:50:56:93:70:fd""]",0,0,26200,10,0,0,[],2026-04-29T15:39:03Z,917666,
14887629,ORX-DC-VDI-003,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:08:21Z,2026-04-29T10:50:56Z,Unmanaged,Non Compliant,Disabled,10.100.106.126,66.81.19.126,OXP,VMware-42 13 b9 76 96 37 9f bb-1e ae 4b f5 21 f0 17 89,426003,31342,amd64,2025-12-18T12:45:20Z,Other AV,"[""00:50:56:93:45:ff""]",0,0,26200,10,0,0,[],2026-04-29T14:41:48Z,917666,
14812653,ORX-DC-OPSPRB,windows,Windows Server 2022 Standard,0.14.162,0.7.54,2026-04-29T16:05:52Z,2026-04-29T11:43:33Z,Unhealthy,Compliant,Enabled,10.100.106.131,66.81.19.126,OXP,VMware-42 13 6b d8 8f 8f 9e 89-ef 70 1b 23 69 1f d1 09,426003,31342,amd64,2025-12-12T01:27:04Z,Other AV,"[""00:50:56:93:e7:8c""]",0,0,20348,10,0,0,[],2026-04-29T15:55:00Z,917666,
14777245,WKORX62,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:00:39Z,2026-04-29T15:11:21Z,Unmanaged,Non Compliant,Enabled,192.168.0.65,12.79.8.230,,B2C2X74,426003,31342,amd64,2025-12-10T04:24:28Z,Other AV,"[""c0:47:0e:fb:d0:a5"", ""dc:90:09:a3:af:4d"", ""dc:90:09:a3:af:4e"", ""dc:90:09:a3:af:51"", ""de:90:09:a3:af:4d""]",0,0,26200,10,0,0,[],2026-04-29T15:11:22Z,917666,
14735766,WKORX72,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:11:07Z,2026-04-29T15:00:09Z,Unhealthy,Compliant,Enabled,192.168.0.84,12.79.8.230,,989GZ84,426003,31342,amd64,2025-12-07T03:56:13Z,Other AV,"[""70:08:10:d6:37:47"", ""70:08:10:d6:37:48"", ""70:08:10:d6:37:4b"", ""72:08:10:d6:37:47"", ""e8:cf:83:82:7c:b6""]",0,0,26200,10,0,0,[],2026-04-29T15:00:11Z,917666,
14153515,ORX-DC-VDI-001,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:02:11Z,2026-04-29T10:40:37Z,Unmanaged,Non Compliant,Disabled,10.100.106.127,66.81.19.126,OXP,VMware-42 13 5b a7 60 f2 9f c8-65 83 11 9c 30 b5 46 9b,426003,31342,amd64,2025-10-19T14:08:24Z,Other AV,"[""00:50:56:93:00:95""]",0,0,26200,10,0,0,[],2026-04-29T14:51:40Z,917666,
14153514,ORX-DC-VDI-002,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:11:26Z,2026-04-29T13:50:52Z,Unmanaged,Non Compliant,Disabled,10.100.106.140,66.81.19.126,OXP,VMware-42 13 56 96 2f 9d 5b 5c-44 30 ea 03 c2 35 75 ea,426003,31342,amd64,2025-10-19T14:08:20Z,Other AV,"[""00:50:56:93:ef:f9""]",0,0,26200,10,0,0,[],2026-04-29T16:00:39Z,917666,
13955016,ORX-DC-3CX-01,windows,Windows Server 2022 Standard,0.14.162,0.7.54,2026-04-29T16:07:12Z,2026-04-29T12:33:41Z,Unhealthy,Compliant,Disabled,10.100.106.56,66.81.19.57,,VMware-42 13 00 e8 56 93 33 aa-72 38 31 9a fb c3 22 3f,426003,31342,amd64,2025-10-02T03:35:54Z,Other AV,"[""00:50:56:93:17:c3""]",0,0,20348,10,0,0,[],2026-04-29T14:32:27Z,917666,
13375092,OXPTEST,windows,Windows Server 2022 Standard,0.14.162,0.7.54,2026-04-29T16:12:43Z,2026-04-29T16:03:38Z,Unmanaged,Compliant,Disabled,10.100.106.66,66.81.19.42,OXP,VMware-42 30 a2 41 92 d6 24 a5-c9 e7 32 e4 ac 6d 3e 55,426003,31342,amd64,2025-08-12T09:36:44Z,Other AV,"[""00:50:56:93:ab:da""]",0,0,20348,10,0,0,[],2026-04-29T16:03:40Z,917666,
12715318,WKORX48,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:11:20Z,2026-04-29T15:23:14Z,Unmanaged,Non Compliant,Enabled,192.168.0.56,12.79.8.230,,8TWDQ53,426003,31342,amd64,2025-06-16T23:53:21Z,Other AV,"[""a4:bb:6d:d1:d7:52""]",0,0,26200,10,0,0,[],2026-04-29T15:23:18Z,917666,
