InvoiceID,InvoiceNo,DueDate,InvoiceDate,Paid,Total,InvoiceType,Status,PaymentDate,Title
45447,27868,2026-03-23,2026-02-21,112.5000,112.5000,WeeklyOut,Paid,2026-02-26,Out Of Contract
45069,27734,2026-03-03,2026-02-01,40.0000,40.0000,Recurring,Paid,2026-02-10,RKEG : Recurring Invoice
43505,26046,2025-08-10,2025-07-11,87.0000,87.0000,WeeklyOut,Paid,2025-07-17,Out Of Contract
42223,12051,2025-03-03,2025-02-01,40.0000,40.0000,Recurring,Paid,2025-02-12,RKEG : Recurring Invoice
40999,10909,2024-09-29,2024-08-30,46.5800,46.5800,WeeklyOut,Paid,2024-08-01,Out Of Contract
38626,8722,2024-03-01,2024-02-01,40.0000,40.0000,Recurring,Paid,2024-02-12,RKEG : Recurring Invoice
38483,8581,2024-02-18,2024-01-19,184.5000,184.5000,Weekly,Paid,2024-01-24,Weekly Invoice
36158,4249,2023-06-04,2023-05-05,63.0000,63.0000,Weekly,Paid,2023-05-12,Weekly Invoice
36025,4117,2023-05-21,2023-04-21,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
35984,4074,2023-05-14,2023-04-14,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
35916,4007,2023-05-01,2023-04-01,0.0000,0.0000,Recurring,Void,,RKEG : Recurring Invoice
35785,3873,2023-04-16,2023-03-17,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
35747,3833,2023-04-09,2023-03-10,0.0000,0.0000,Weekly,Paid,,Weekly Invoice
35709,3790,2023-04-02,2023-03-03,75.0000,75.0000,Weekly,Paid,2023-03-10,Weekly Invoice
35678,3758,2023-04-01,2023-03-01,30.0000,30.0000,Recurring,Paid,,RKEG : Recurring Invoice
35549,3698,2023-03-27,2023-02-27,3000.0000,3000.0000,Invoice,Paid,2023-04-10,Website updates
35511,3624,2023-03-14,2023-02-14,10.0000,10.0000,Invoice,Paid,2023-02-23,RKEG : ProRated Invoice
35550,3696,2023-03-01,2023-02-01,40.0000,40.0000,Recurring,Paid,2023-03-28,RKEG : Recurring Invoice
