id,hostname,platform,os,version,edr_version,last_callback_at,last_survey_at,defender_status,defender_policy_status,firewall_status,ipv4_address,external_ip,domain_name,serial_number,organization_id,account_id,arch,created_at,defender_substatus,mac_addresses,service_pack_major,service_pack_minor,os_build_version,os_major,os_minor,os_patch,tags,updated_at,version_number,win_build_number
16392476,VAF-DC-SFTP-01,windows,Windows Server 2022 Standard,0.14.162,0.7.54,2026-04-29T16:13:15Z,2026-04-29T12:28:42Z,Unhealthy,Compliant,Disabled,10.100.103.112,66.81.18.200,,VMware-42 13 de c1 5b 82 40 8f-f9 51 63 76 16 d0 60 33,426004,31342,amd64,2026-04-27T17:43:41Z,Other AV,"[""00:50:56:93:7f:7f""]",0,0,20348,10,0,0,[],2026-04-29T14:24:28Z,917666,
15365275,VAF-HQ-LT-36,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:04:58Z,2026-04-29T15:44:28Z,Unmanaged,Non Compliant,Enabled,192.168.1.135,76.82.17.77,,8DMTX64,426004,31342,amd64,2026-02-04T01:42:24Z,Other AV,"[""ac:b4:80:c2:30:2e"", ""c8:a3:e8:54:c7:7d"", ""c8:a3:e8:54:c7:7e"", ""ca:a3:e8:54:c7:7d"", ""ce:a3:e8:54:c7:7d""]",0,0,26200,10,0,0,[],2026-04-29T15:54:24Z,917666,
15272731,VAF-HQ-LT-33,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T15:12:57Z,2026-04-29T03:20:31Z,Unmanaged,Non Compliant,Enabled,192.168.1.103,108.217.166.118,,6B8CQ94,426004,31342,amd64,2026-01-27T20:52:17Z,Other AV,"[""84:9e:56:bc:3e:47"", ""84:9e:56:bc:3e:48"", ""86:9e:56:bc:3e:47"", ""8a:9e:56:bc:3e:47""]",0,0,26200,10,0,0,[],2026-04-29T13:37:14Z,917666,
15272216,VAF-HQ-LT-35,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:11:41Z,2026-04-29T05:03:09Z,Unmanaged,Non Compliant,Enabled,192.168.1.49,45.49.113.121,,3GFCQ94,426004,31342,amd64,2026-01-27T20:22:00Z,Other AV,"[""84:9e:56:bc:3d:c9"", ""84:9e:56:bc:3d:ca"", ""86:9e:56:bc:3d:c9""]",0,0,26200,10,0,0,[],2026-04-29T15:18:39Z,917666,
15234095,VAF-DC-SFTP-02,windows,Windows Server 2022 Standard,0.14.162,0.7.54,2026-04-29T16:05:37Z,2026-04-29T11:15:32Z,Unhealthy,Compliant,Disabled,10.100.103.111,66.81.19.90,,VMware-42 13 64 d0 ae b3 a8 d5-76 91 8e ff a1 76 e5 8b,426004,31342,amd64,2026-01-23T14:50:17Z,Other AV,"[""00:50:56:93:4c:1d""]",0,0,20348,10,0,0,[],2026-04-29T15:14:42Z,917666,
15156235,VAF-HQ-LT-32,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:14:23Z,2026-04-29T05:35:37Z,Unmanaged,Non Compliant,Enabled,192.168.1.134,76.32.24.12,,D669Q94,426004,31342,amd64,2026-01-16T18:00:12Z,Other AV,"[""84:9e:56:bc:30:c3"", ""84:9e:56:bc:30:c4"", ""86:9e:56:bc:30:c3"", ""8a:9e:56:bc:30:c3""]",0,0,26200,10,0,0,[],2026-04-29T15:52:28Z,917666,
14990182,VAF-DC-OPSPRB,windows,Windows Server 2022 Standard,0.14.162,0.7.54,2026-04-29T16:05:47Z,2026-04-29T10:56:36Z,Unhealthy,Compliant,Disabled,10.100.103.62,66.81.19.126,VAF,VMware-42 13 25 74 3b 20 ad f8-11 ad dd 2a 45 d9 2d 2c,426004,31342,amd64,2026-01-01T05:37:43Z,Other AV,"[""00:50:56:93:d9:5a""]",0,0,20348,10,0,0,[],2026-04-29T15:06:20Z,917666,
14862741,VAF-HQ-LT-30,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T13:32:55Z,2026-04-29T04:59:58Z,Unmanaged,Non Compliant,Enabled,192.168.4.26,47.152.138.17,,B969Q94,426004,31342,amd64,2025-12-16T20:35:49Z,Other AV,"[""84:9e:56:bc:2f:d7"", ""84:9e:56:bc:2f:d8"", ""86:9e:56:bc:2f:d7"", ""8a:9e:56:bc:2f:d7""]",0,0,26200,10,0,0,[],2026-04-29T13:12:46Z,917666,
14861881,VAF-HQ-LT-26,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T15:54:37Z,2026-04-29T16:06:24Z,Unmanaged,Non Compliant,Enabled,192.168.86.207,174.65.130.14,,FDFCQ94,426004,31342,amd64,2025-12-16T20:09:37Z,Other AV,"[""84:9e:56:bc:32:d7"", ""84:9e:56:bc:32:d8"", ""86:9e:56:bc:32:d7"", ""8a:9e:56:bc:32:d7""]",0,0,26200,10,0,0,[],2026-04-29T16:06:37Z,917666,
14861511,VAF-HQ-LT-31,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:14:22Z,2026-04-29T15:53:21Z,Unmanaged,Non Compliant,Enabled,192.168.1.134,107.206.49.188,,8YC9Q94,426004,31342,amd64,2025-12-16T19:58:30Z,Other AV,"[""84:9e:56:bb:cc:eb"", ""84:9e:56:bb:cc:ec"", ""86:9e:56:bb:cc:eb"", ""8a:9e:56:bb:cc:eb""]",0,0,26200,10,0,0,[],2026-04-29T15:53:25Z,917666,
14603697,VAF-HQ-LT-12,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T15:59:37Z,2026-04-29T15:08:12Z,Unmanaged,Non Compliant,Enabled,192.168.1.90,104.7.144.86,,6BKTX64,426004,31342,amd64,2025-11-25T22:55:42Z,Other AV,"[""ac:b4:80:c2:30:86"", ""ac:b4:80:c2:30:87"", ""c8:a3:e8:53:7f:91"", ""c8:a3:e8:53:7f:92"", ""ca:a3:e8:53:7f:91"", ""ce:a3:e8:53:7f:91""]",0,0,26200,10,0,0,[],2026-04-29T15:08:17Z,917666,
14533084,VAF-HQ-SUR-13,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:09:55Z,2026-04-29T15:49:29Z,Unmanaged,Non Compliant,Enabled,10.0.0.111,98.196.233.124,,0F346CJ24313BF,426004,31342,amd64,2025-11-19T21:34:59Z,Other AV,"[""4c:b0:4a:e1:96:28"", ""4c:b0:4a:e1:96:29"", ""4c:b0:4a:e1:96:2c"", ""4e:b0:4a:e1:96:28""]",0,0,26200,10,0,0,[],2026-04-29T15:49:30Z,917666,
14532998,VAF-HQ-SUR-05,windows,Windows 11 Pro,0.14.162,0.7.54,2026-04-29T16:06:37Z,2026-04-29T16:14:48Z,Unhealthy,Compliant,Enabled,10.0.0.166,98.202.118.16,,0F00J6323053BF,426004,31342,amd64,2025-11-19T21:29:56Z,Other AV,"[""70:d8:23:4d:e1:17"", ""70:d8:23:4d:e1:18"", ""70:d8:23:4d:e1:1b"", ""72:d8:23:4d:e1:17""]",0,0,26200,10,0,0,[],2026-04-29T16:14:50Z,917666,
