InvoiceID,InvoiceNo,DueDate,InvoiceDate,Paid,Total,InvoiceType,Status,PaymentDate,Title
43320,25866,2025-07-25,2025-06-25,150.0000,150.0000,Invoice,Paid,2025-06-25,Remove 2fa on godaddy
40501,10416,2024-07-31,2024-07-01,67.9900,67.9900,Recurring,Paid,2024-07-26,WCS : Recurring Invoice
38236,8362,2024-02-01,2024-01-01,20.2500,20.2500,Recurring,Paid,2024-01-25,WCS : Recurring Invoice
37168,5202,2023-10-01,2023-09-01,135.9800,135.9800,Recurring,Paid,,WCS : Recurring Invoice
36682,4733,2023-08-01,2023-07-01,67.9900,67.9900,Recurring,Paid,2023-07-27,WCS : Recurring Invoice
35181,3270,2023-02-01,2023-01-01,20.2500,20.2500,Recurring,Paid,2023-01-26,WCS : Recurring Invoice
34931,3058,2023-01-01,2022-12-01,20.2500,20.2500,Recurring,Paid,2022-12-30,WCS : Recurring Invoice
33722,1613,2022-08-01,2022-07-01,67.9900,67.9900,Recurring,Paid,2022-08-11,WCS : Recurring Invoice
32466,1376,2022-07-01,2022-06-01,0.0000,0.0000,Monthly,Void,,WCS : Monthly Invoice for Monthly Support Contract - Hourly
32534,1440,2022-07-01,2022-06-01,12.0000,12.0000,Monthly,Paid,2022-08-11,WCS : Monthly Invoice for Monthly Support Contract - Hourly
31261,1198,2022-06-01,2022-05-01,12.0000,12.0000,Monthly,Paid,2022-08-11,WCS : Monthly Invoice for Monthly Support Contract - Hourly
30939,955,2022-05-01,2022-04-01,0.0000,0.0000,Monthly,Void,,WCS : Monthly Invoice for Monthly Support Contract - Hourly
30884,887,2022-05-01,2022-04-01,34.0000,34.0000,Weekly,Paid,2022-04-04,Weekly Invoice
30719,759,2022-04-10,2022-03-11,208.0000,208.0000,Weekly,Paid,2022-03-14,Weekly Invoice
30307,434,2022-03-01,2022-02-01,0.0000,0.0000,Monthly,Void,,WCS : Monthly Invoice for Monthly Support Contract - Hourly
30113,201,2022-02-01,2022-01-01,20.2500,20.2500,Recurring,Paid,2022-01-28,WCS : Recurring Invoice
29422,43769,2021-12-01,2021-11-01,24.0000,24.0000,Monthly,Paid,2021-12-13,WCS : Monthly Invoice for Monthly Support Contract - Hourly
29396,43744,2021-11-28,2021-10-29,178.5000,178.5000,Weekly,Paid,2021-12-13,Weekly Invoice
29346,43701,2021-11-21,2021-10-22,111.0000,111.0000,Weekly,Paid,2021-12-13,Weekly Invoice
29293,43657,2021-11-14,2021-10-15,73.0000,73.0000,Weekly,Paid,2021-11-18,Weekly Invoice
29235,43614,2021-11-07,2021-10-08,153.0000,153.0000,Weekly,Paid,,Weekly Invoice
29192,43570,2021-10-31,2021-10-01,12.0000,12.0000,Weekly,Paid,2021-10-26,Weekly Invoice
29107,43503,2021-11-01,2021-10-01,24.0000,24.0000,Monthly,Paid,2021-10-26,WCS : Monthly Invoice for Monthly Support Contract - Hourly
29000,43431,2021-10-24,2021-09-24,52.5000,52.5000,Weekly,Paid,2021-10-26,Weekly Invoice
28877,43303,2021-10-03,2021-09-03,57.0000,57.0000,Weekly,Paid,,Weekly Invoice
