Auth check ...
  Ravi Jain (rjain@technijian.com)
Discovered 9 accessible orgs
Window: 119 day(s), 2026-01-01 to 2026-04-29
  [technijian_inc] 2026-01-01: 0 events -> _meraki\technijian_inc\security_events\2026-01-01.json
  [technijian_inc] 2026-01-02: 0 events -> _meraki\technijian_inc\security_events\2026-01-02.json
  [technijian_inc] 2026-01-03: 0 events -> _meraki\technijian_inc\security_events\2026-01-03.json
  [technijian_inc] 2026-01-04: 0 events -> _meraki\technijian_inc\security_events\2026-01-04.json
  [technijian_inc] 2026-01-05: 0 events -> _meraki\technijian_inc\security_events\2026-01-05.json
  [technijian_inc] 2026-01-06: 0 events -> _meraki\technijian_inc\security_events\2026-01-06.json
  [technijian_inc] 2026-01-07: 0 events -> _meraki\technijian_inc\security_events\2026-01-07.json
  [technijian_inc] 2026-01-08: 0 events -> _meraki\technijian_inc\security_events\2026-01-08.json
  [technijian_inc] 2026-01-09: 0 events -> _meraki\technijian_inc\security_events\2026-01-09.json
  [technijian_inc] 2026-01-10: 0 events -> _meraki\technijian_inc\security_events\2026-01-10.json
  [technijian_inc] 2026-01-11: 0 events -> _meraki\technijian_inc\security_events\2026-01-11.json
  [technijian_inc] 2026-01-12: 0 events -> _meraki\technijian_inc\security_events\2026-01-12.json
  [technijian_inc] 2026-01-13: 0 events -> _meraki\technijian_inc\security_events\2026-01-13.json
  [technijian_inc] 2026-01-14: 0 events -> _meraki\technijian_inc\security_events\2026-01-14.json
  [technijian_inc] 2026-01-15: 0 events -> _meraki\technijian_inc\security_events\2026-01-15.json
  [technijian_inc] 2026-01-16: 0 events -> _meraki\technijian_inc\security_events\2026-01-16.json
  [technijian_inc] 2026-01-17: 0 events -> _meraki\technijian_inc\security_events\2026-01-17.json
  [technijian_inc] 2026-01-18: 0 events -> _meraki\technijian_inc\security_events\2026-01-18.json
  [technijian_inc] 2026-01-19: 0 events -> _meraki\technijian_inc\security_events\2026-01-19.json
  [technijian_inc] 2026-01-20: 0 events -> _meraki\technijian_inc\security_events\2026-01-20.json
  [technijian_inc] 2026-01-21: 0 events -> _meraki\technijian_inc\security_events\2026-01-21.json
  [technijian_inc] 2026-01-22: 0 events -> _meraki\technijian_inc\security_events\2026-01-22.json
  [technijian_inc] 2026-01-23: 0 events -> _meraki\technijian_inc\security_events\2026-01-23.json
  [technijian_inc] 2026-01-24: 0 events -> _meraki\technijian_inc\security_events\2026-01-24.json
  [technijian_inc] 2026-01-25: 0 events -> _meraki\technijian_inc\security_events\2026-01-25.json
  [technijian_inc] 2026-01-26: 0 events -> _meraki\technijian_inc\security_events\2026-01-26.json
  [technijian_inc] 2026-01-27: 0 events -> _meraki\technijian_inc\security_events\2026-01-27.json
  [technijian_inc] 2026-01-28: 0 events -> _meraki\technijian_inc\security_events\2026-01-28.json
  [technijian_inc] 2026-01-29: 0 events -> _meraki\technijian_inc\security_events\2026-01-29.json
  [technijian_inc] 2026-01-30: 0 events -> _meraki\technijian_inc\security_events\2026-01-30.json
  [technijian_inc] 2026-01-31: 0 events -> _meraki\technijian_inc\security_events\2026-01-31.json
  [technijian_inc] 2026-02-01: 0 events -> _meraki\technijian_inc\security_events\2026-02-01.json
  [technijian_inc] 2026-02-02: 0 events -> _meraki\technijian_inc\security_events\2026-02-02.json
  [technijian_inc] 2026-02-03: 0 events -> _meraki\technijian_inc\security_events\2026-02-03.json
  [technijian_inc] 2026-02-04: 0 events -> _meraki\technijian_inc\security_events\2026-02-04.json
  [technijian_inc] 2026-02-05: 0 events -> _meraki\technijian_inc\security_events\2026-02-05.json
